RBI,H,G,POS,Team
13,26,22,OF,BEL
1,1,3,1B,DAY
21,62,75,2B,WIS
0,0,3,3B,DAY
6,12,12,OF,CLI
2,8,14,C,GL
52,128,130,OF,QC
61,135,131,SS,KC
51,120,127,OF,PEO
43,82,78,C,CLI
1,10,12,2B,LAN
19,44,51,2B,GL
39,84,97,OF,BEL
37,71,90,SS,LAN
17,50,52,LF,KC
1,3,2,SS,QC
40,106,112,CF,KC
63,135,127,3B,WIS
51,96,103,C,SB
79,95,108,DH,LAN
53,109,112,OF,BUR
80,133,130,LF,SB
16,52,74,C,WIS
7,18,26,SS,DAY
26,53,75,LF,LC
48,105,106,1B,GL
28,70,76,3B,LAN
50,106,104,3B,WIS
68,104,116,1B,DAY
3,7,16,OF,DAY
64,99,123,SS,KC
16,58,64,SS,KC
27,51,77,OF,CR
61,122,128,1B,BG
9,35,40,C,GL
41,83,101,RF,WIS
7,10,11,OF,CLI
6,16,25,SS,QC
49,141,131,SS,QC
61,113,92,OF,FW
5,21,39,2B,BUR
3,8,13,OF,CLI
23,67,59,OF,FW
2,13,28,C,CR
73,125,111,1B,CLI
61,98,109,1B,PEO
18,32,39,C,PEO
23,32,42,3B,GL
11,36,44,C,FW
22,54,78,OF,BUR
22,32,46,CF,QC
0,5,7,OF,PEO
2,12,19,SS,LC
38,116,125,2B,PEO
28,34,39,C,LC
50,118,117,RF,DAY
4,9,9,SS,BG
0,2,5,OF,BG
50,127,117,SS,KC
12,14,18,OF,KC
4,10,17,1B,FW
15,43,46,LF,CLI
1,4,6,C,SB
76,141,135,1B,SB
20,26,40,C,WM
3,4,8,3B,BUR
68,114,102,3B,CLI
30,82,102,OF,BEL
100,118,129,3B,BEL
2,7,7,OF,GL
3,21,24,SS,PEO
8,17,27,C,KC
36,75,73,C,LC
3,2,4,CF,WIS
2,16,24,LF,DAY
44,63,74,LF,BG
7,8,13,C,LC
44,70,65,CF,DAY
33,74,74,C,BG
1,11,6,OF,LC
51,122,125,2B,DAY
26,48,49,SS,BEL
29,57,76,1B,CLI
0,2,6,SS,LAN
0,0,1,P,BEL
49,84,93,C,LC
23,73,68,OF,KC
42,73,92,C,DAY
1,1,2,3B,LC
38,62,77,OF,BUR
37,72,83,SS,BUR
10,14,23,OF,KC
38,70,64,LF,SB
15,20,28,3B,QC
28,37,38,OF,BUR
24,45,70,C,BUR
44,69,67,3B,BUR
11,27,35,OF,PEO
42,59,49,2B,QC
41,57,79,1B,FW
3,8,20,OF,FW
0,0,1,P,GL
23,36,38,1B,PEO
0,0,2,C,FW
69,139,132,RF,BG
5,7,8,CF,SB
39,120,134,2B,WM
42,77,67,2B,SB
20,21,34,LF,GL
8,14,14,OF,WIS
5,9,20,OF,FW
42,66,90,SS,GL
30,60,64,C,CLI
40,92,123,CF,GL
35,100,116,2B,PEO
19,42,41,SS,QC
7,20,16,OF,BUR
9,14,18,C,BEL
35,79,93,SS,BEL
68,119,109,LF,WIS
72,104,120,1B,QC
12,31,31,C,PEO
10,11,10,1B,QC
9,28,48,OF,WIS
12,42,58,C,KC
1,4,5,C,CLI
23,48,52,C,CR
59,107,102,LF,LC
1,6,9,2B,DAY
11,14,12,CF,WM
43,72,66,1B,CLI
48,127,117,SS,FW
56,90,102,SS,BUR
25,49,48,C,WM
26,64,59,OF,DAY
12,25,43,3B,LAN
67,134,137,LF,GL
12,44,61,SS,SB
27,61,58,OF,CR
7,34,29,CF,LAN
5,10,13,C,CLI
0,0,1,P,BEL
33,71,57,SS,PEO
12,26,20,SS,PEO
30,66,65,CF,SB
3,5,5,OF,LAN
7,25,34,C,LAN
27,88,95,2B,CLI
3,4,3,2B,DAY
6,25,29,OF,LC
2,4,4,C,WIS
14,30,48,CF,LAN
31,85,86,CF,BEL
0,1,3,C,FW
68,111,97,DH,QC
50,98,113,RF,CLI
1,2,3,1B,DAY
36,49,41,1B,BEL
24,45,55,RF,GL
0,4,6,2B,CLI
30,65,105,SS,BEL
29,70,84,2B,FW
3,6,10,C,LAN
32,82,82,DH,FW
1,5,14,2B,WM
29,83,109,OF,PEO
11,17,20,1B,FW
34,71,81,C,GL
11,17,31,C,WIS
7,6,8,OF,QC
33,77,70,CF,BUR
10,25,19,CF,DAY
70,95,96,1B,WIS
61,116,105,OF,KC
35,75,97,OF,DAY
54,130,118,1B,BG
12,23,30,OF,GL
2,8,7,C,GL
7,16,29,OF,WM
12,39,42,RF,CR
