H,BB,GIDP,G,SB,2B,SLG
4,4,1,9,0,0,0.154
1,0,0,1,0,0,0.333
18,1,0,24,0,6,0.3
51,17,1,49,4,9,0.551
5,2,0,8,0,1,0.3
113,81,10,118,1,36,0.392
19,2,0,24,1,3,0.4
89,15,4,66,36,20,0.395
1,1,0,3,0,0,0.083
59,14,7,61,1,10,0.359
47,19,7,49,2,14,0.415
84,28,15,99,2,13,0.304
30,11,3,41,6,4,0.376
10,3,2,17,7,2,0.162
97,18,5,83,2,19,0.459
99,31,5,112,2,18,0.378
82,52,7,101,14,14,0.305
56,6,1,41,7,12,0.56
9,3,0,9,2,3,0.441
103,54,4,114,23,20,0.377
44,10,3,38,0,10,0.46
77,30,9,69,5,10,0.368
80,28,4,88,4,20,0.42
98,35,13,125,7,18,0.349
107,17,4,76,9,11,0.593
1,0,0,1,0,0,0.5
113,69,7,99,7,34,0.563
1,0,0,1,0,1,0.5
80,21,5,84,47,10,0.33
161,18,7,124,40,26,0.408
120,32,4,121,5,33,0.436
26,1,2,31,4,6,0.404
36,15,2,50,2,5,0.321
3,0,0,2,0,0,0.333
5,2,0,4,2,0,0.357
101,47,2,84,1,18,0.589
7,1,1,10,0,3,0.345
4,3,1,5,0,0,0.389
29,19,2,43,14,9,0.351
0,1,2,4,0,0,0.0
62,17,2,47,0,13,0.564
46,11,3,48,7,9,0.42
31,13,0,17,1,4,0.514
3,2,0,7,0,0,0.15
69,16,6,67,23,15,0.572
165,79,9,133,16,42,0.453
112,42,10,118,1,20,0.336
121,36,9,114,5,24,0.395
46,20,6,45,9,6,0.335
75,25,7,102,1,14,0.292
158,63,13,132,8,28,0.424
2,0,0,1,0,0,1.0
86,35,6,76,5,28,0.548
133,34,9,109,24,30,0.494
1,0,0,4,0,0,0.167
68,13,4,57,8,13,0.478
82,22,2,62,6,18,0.405
132,49,12,118,2,15,0.331
39,24,7,66,0,5,0.224
119,44,5,114,5,25,0.432
71,11,2,56,0,14,0.403
14,5,1,25,0,2,0.259
103,55,8,111,2,28,0.468
17,4,1,26,0,4,0.353
84,35,5,90,7,13,0.439
110,43,8,85,4,27,0.523
6,4,0,13,0,0,0.211
4,1,1,13,1,0,0.143
63,17,1,63,0,8,0.449
35,12,2,39,1,5,0.4
1,2,0,5,0,0,0.1
8,8,0,12,3,1,0.324
68,37,11,97,2,4,0.241
62,12,9,60,10,15,0.377
22,10,1,24,3,4,0.337
8,2,0,5,0,3,1.0
10,2,1,9,0,0,0.515
121,65,5,122,0,30,0.489
133,55,8,119,35,30,0.406
136,24,14,123,1,41,0.412
134,24,5,130,35,22,0.416
3,1,1,12,0,0,0.081
17,1,7,26,0,1,0.231
12,2,2,21,1,1,0.183
106,30,7,95,7,24,0.481
26,6,3,32,4,7,0.321
1,2,0,2,1,0,0.667
107,53,13,101,4,24,0.438
96,66,2,118,36,16,0.468
53,22,2,58,5,12,0.327
6,10,0,10,0,2,0.267
4,0,0,3,2,1,0.5
50,6,6,44,4,7,0.365
94,26,3,70,1,20,0.479
2,4,0,3,0,2,0.5
2,0,0,2,0,0,0.333
1,2,0,3,0,0,0.111
21,4,1,46,5,9,0.353
34,13,6,43,0,8,0.319
59,23,7,50,12,8,0.413
4,5,0,5,0,3,0.583
134,75,5,131,11,41,0.458
11,4,2,15,0,4,0.3
107,46,14,117,9,19,0.392
131,77,7,137,4,32,0.569
11,0,0,5,1,2,0.9
0,1,0,1,0,0,0.0
47,12,6,52,1,9,0.447
2,3,0,5,0,0,0.667
45,19,2,35,0,9,0.465
2,1,0,2,0,1,0.375
1,5,0,11,1,0,0.042
150,19,5,121,50,29,0.444
10,5,0,12,1,2,0.484
82,7,8,71,0,20,0.438
16,17,2,26,1,5,0.293
105,21,12,103,5,26,0.434
92,36,5,75,15,12,0.511
38,20,2,31,1,11,0.496
125,30,7,108,30,20,0.406
68,25,3,68,8,11,0.407
49,39,9,79,4,6,0.267
74,13,8,70,4,13,0.388
93,41,14,101,1,22,0.434
103,40,3,93,4,18,0.351
26,10,1,32,0,6,0.281
28,23,1,38,14,4,0.266
90,29,7,78,1,33,0.456
68,37,0,56,17,5,0.402
8,2,0,9,3,2,0.485
27,3,1,25,3,1,0.333
136,35,8,126,18,25,0.385
1,0,0,1,0,1,0.667
3,0,0,4,3,0,0.214
1,0,1,4,0,0,0.063
0,0,1,2,0,0,0.0
3,2,0,3,0,0,0.375
60,21,7,54,10,10,0.402
7,3,0,11,0,3,0.5
97,46,10,77,0,19,0.513
1,1,0,3,0,0,0.143
139,33,7,128,25,31,0.441
4,5,0,8,1,0,0.241
128,29,3,107,39,21,0.386
43,22,3,55,5,7,0.324
2,4,1,5,0,0,0.118
