Description,2001,2002,2003,2004,2005,2006,2007 Q1,2007 Q2,2007 Q3,2007 Q4,2008 Q1,Line
Government-sponsored enterprises total financial assets asset,2309.4,2549.4,2794.4,2882.9,2819.4,2872.9,2887.9,2939.1,3084.2,3174.2,3220.2,1
Government-sponsored enterprises checkable deposits and currency asset,6.7,14.8,28.8,39.1,14.6,16.4,15.1,19.0,18.0,13.7,11.1,2
Government-sponsored enterprises time and savings deposits asset,30.3,25.3,16.7,23.3,35.3,33.9,38.6,36.8,47.4,46.6,41.1,3
Government-sponsored enterprises federal funds transactions and loans made under security repurchase agreements asset,104.4,95.3,75.3,93.6,107.7,117.4,152.3,146.3,124.5,142.7,131.8,4
Government-sponsored enterprises credit and equity market instruments asset,2099.1,2323.2,2564.2,2613.0,2543.9,2590.5,2558.4,2596.7,2758.9,2829.5,2893.4,5
Government-sponsored enterprises open market paper asset,33.8,10.4,6.7,5.8,13.8,32.4,17.8,30.1,14.2,27.7,39.6,6
"Government-sponsored enterprises total Treasury securities, excluding U.S. savings bonds asset",13.6,25.7,13.5,12.9,13.1,14.2,14.5,14.8,15.1,15.5,15.9,7
Government-sponsored enterprises agency- and GSE-backed securities asset,996.8,1111.7,1034.3,886.5,751.1,713.0,697.3,688.4,693.9,702.9,717.3,8
Government-sponsored enterprises municipal securities and loans and SLMA public academic facilities financing and SLMA public warehousing advances asset,35.4,39.4,44.4,44.6,39.7,36.1,34.1,34.5,33.6,33.3,32.4,9
Government-sponsored enterprises corporate and foreign bonds asset,176.7,227.1,277.4,414.8,465.7,482.7,493.0,501.2,480.6,464.4,449.7,10
Government-sponsored enterprises other loans and advances asset,505.9,514.7,545.8,619.4,671.8,704.9,690.2,708.6,892.0,942.6,980.4,11
Government-sponsored enterprises Sallie Mae other loans and advances asset,0.8,0.4,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12
Government-sponsored enterprises Farm Credit System other loans and advances asset,41.8,43.8,43.8,43.6,51.6,63.5,65.7,66.6,70.2,75.5,84.0,13
Government-sponsored enterprises FHLB other loans and advances asset,463.3,470.5,501.7,575.8,620.2,641.4,624.4,642.0,821.8,867.1,896.4,14
Government-sponsored enterprises total mortgages asset,297.5,357.3,621.5,629.0,588.8,607.2,611.5,619.1,629.6,643.1,658.2,15
Government-sponsored enterprises home mortgages asset,231.2,276.8,514.7,508.0,454.9,457.2,455.6,455.1,458.8,450.8,455.6,16
Government-sponsored enterprises multifamily residential mortgages asset,33.2,41.7,68.2,82.5,93.0,105.4,111.3,119.4,126.2,147.7,157.7,17
Government-sponsored enterprises farm mortgages asset,33.1,38.8,38.7,38.6,40.9,44.6,44.6,44.6,44.6,44.6,44.9,18
Government-sponsored enterprises consumer credit asset,39.4,36.9,20.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19
Government-sponsored enterprises unidentified miscellaneous financial claims asset,68.9,90.9,109.4,113.9,117.8,114.6,123.5,140.3,135.4,141.7,142.8,20
Government-sponsored enterprises total financial liabilities liability,2272.0,2519.6,2747.1,2818.0,2736.8,2782.0,2797.3,2846.2,2993.6,3076.6,3122.4,21
Government-sponsored enterprises credit and equity market instruments liability,2130.6,2350.4,2601.3,2676.3,2592.2,2627.8,2644.5,2684.8,2824.0,2910.2,2940.2,22
Government-sponsored enterprises GSE issues liability,2130.6,2350.4,2601.3,2676.3,2592.2,2627.8,2644.5,2684.8,2824.0,2910.2,2940.2,23
Government-sponsored enterprises loans from the U.S. government (other loans and advances) liability,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
Government-sponsored enterprises total miscellaneous financial claims liability,141.5,169.2,145.8,141.7,144.5,154.2,152.8,161.4,169.6,166.4,182.2,25
