BLK%,Age,Tm,eFG%,MP,G
0.0,26-045,BOS,.000,4:00,16
0.0,26-122,BOS,.800,26:00,54
0.0,26-019,BOS,.000,9:00,5
0.0,26-108,BOS,.500,11:00,46
0.0,26-112,BOS,.750,10:00,48
0.0,26-103,BOS,1.000,10:00,43
0.0,26-101,BOS,1.000,5:00,42
0.0,26-081,BOS,1.000,10:00,33
0.0,26-017,BOS,.000,4:00,4
2.8,26-098,BOS,.333,18:00,41
0.0,26-085,BOS,.500,4:00,35
0.0,26-121,BOS,.667,24:00,53
0.0,26-012,BOS, ,1:00,2
0.0,25-342,CHI, ,7:00,1
0.0,26-049,BOS,1.000,9:00,17
0.0,26-110,BOS,.667,9:00,47
0.0,26-027,BOS,.500,6:00,8
0.0,26-050,BOS, ,6:00,18
0.0,26-066,BOS,.143,8:00,26
5.1,26-126,BOS,.333,14:00,56
0.0,26-133,BOS,.500,41:00,59
0.0,26-040,BOS,.571,24:00,13
0.0,26-105,BOS,.500,8:00,44
5.0,26-054,BOS,.200,12:00,20
2.9,26-128,BOS,.500,19:00,57
0.0,26-119,BOS,.833,18:00,52
0.0,26-140,BOS, ,5:00,62
0.0,26-124,BOS,.000,20:00,55
