Pos,Club,C,P,W,L,D,F,A,%,Form,Next,Pts
1,FRE FRE Fremantle,No change,16,14,2,0,1353,1068,126.7,WWLWW,GWS,56
2,WCE WCE West Coast Eagles,No change,16,13,3,0,1713,1080,158.6,WWWWW,GCFC,52
3,HAW HAW Hawthorn,No change,16,12,4,0,1857,1092,170.1,WWWWW,RICH,48
4,SYD SYD Sydney Swans,No change,16,11,5,0,1344,1196,112.4,LWWLL,ADEL,44
5,RICH RICH Richmond,No change,16,10,6,0,1340,1202,111.5,WWWWL,HAW,40
6,WB WB Western Bulldogs,No change,16,10,6,0,1390,1301,106.8,WWWLW,ESS,40
7,ADEL ADEL Adelaide Crows,Up,15,9,6,0,1446,1361,106.3,LWLWW,SYD,38
8,NMFC NMFC North Melbourne,Up,16,9,7,0,1463,1421,103.0,WLWWW,CARL,36
9,GWS GWS GWS Giants,Down,16,9,7,0,1373,1348,101.9,LLWWL,FRE,36
10,GEEL GEEL Geelong Cats,Up,15,8,7,0,1282,1305,98.2,WLLWW,BL,34
11,COLL COLL Collingwood,Down,16,8,8,0,1479,1287,114.9,LLLLL,MELB,32
12,PORT PORT Port Adelaide,No change,16,7,9,0,1397,1417,98.6,LLWLW,STK,28
13,STK STK St Kilda,No change,16,6,10,0,1339,1477,90.7,LWLLW,PORT,24
14,ESS ESS Essendon,No change,16,5,11,0,1183,1480,79.9,LLWLL,WB,20
15,MELB MELB Melbourne,No change,16,5,11,0,1123,1447,77.6,WLLWL,COLL,20
16,CARL CARL Carlton,No change,16,3,13,0,1132,1700,66.6,WLLLL,NMFC,12
17,GCFC GCFC Gold Coast Suns,No change,16,2,14,0,1169,1609,72.7,LWLLL,WCE,8
18,BL BL Brisbane Lions,No change,16,2,14,0,1033,1625,63.6,LLLLL,GEEL,8
