Batter,Team,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,AVG,OBP,SLG,OPS
David Ortiz,Bos,131,494,78,152,36,2,28,97,4,0,74,84,0.308,0.395,0.559,0.954
Mike Carp,Bos,81,205,34,62,17,2,9,42,1,0,21,62,0.302,0.368,0.537,0.905
Mike Napoli,Bos,136,487,78,125,36,2,23,90,1,1,69,182,0.257,0.355,0.48,0.836
Jarrod Saltalamacchia,Bos,117,410,63,109,38,0,13,59,4,1,43,137,0.266,0.334,0.454,0.788
Shane Victorino,Bos,117,457,80,134,26,2,14,57,21,3,25,70,0.293,0.351,0.451,0.802
Daniel Nava,Bos,128,434,71,130,29,0,11,63,0,2,51,90,0.3,0.385,0.442,0.827
Stephen Drew,Bos,118,418,52,103,27,7,13,64,6,0,53,122,0.246,0.33,0.438,0.768
Will Middlebrooks,Bos,87,318,38,75,17,0,15,42,3,1,20,88,0.236,0.283,0.431,0.714
Jacoby Ellsbury,Bos,131,566,89,169,31,8,8,52,52,4,46,91,0.299,0.355,0.424,0.779
Dustin Pedroia,Bos,154,618,87,186,42,2,9,83,17,5,72,74,0.301,0.373,0.419,0.792
Jonny Gomes,Bos,112,298,45,71,17,0,12,49,1,0,42,85,0.238,0.339,0.416,0.755
Jose Iglesias,Bos,63,215,27,71,10,2,1,19,3,1,11,30,0.33,0.376,0.409,0.785
