Age,Acquired,oWAR,Rpos,WAR,Rbat,RAR,PA,Name,Rrep
33,Free Agency,1.8,-6,0.9,12,9,335,Greg Norton#,13
30,Amateur Draft,-0.3,4,-0.6,-13,-6,234,Toby Hall,9
25,Amateur Draft,0.0,0,0.0,0,0,0,Doug Waechter,0
26,Free Agency,0.0,0,0.0,0,0,0,Ruddy Lugo,0
31,Traded,0.4,3,0.2,-3,1,165,Josh Paul,6
30,Free Agency,-0.1,0,-0.1,-1,-0,2,Luis Ordaz,0
28,Waivers,0.0,0,0.0,0,0,0,Scott Dunn,0
20,Amateur Draft,0.6,-1,0.9,2,9,131,Delmon Young,5
27,Traded,-0.7,0,-0.6,-7,-6,45,Nick Green,2
22,Traded,-0.0,1,-0.0,-1,-0,3,Scott Kazmir*,0
26,Amateur Draft,0.0,0,0.0,0,0,0,Jon Switzer*,0
25,Traded,-0.0,0,-0.0,-2,-0,25,Sean Burroughs*,1
24,Amateur Draft,0.1,1,0.1,-0,1,8,James Shields,0
26,Amateur Free Agent,0.0,0,0.0,0,0,0,Brian Stokes,0
30,Free Agency,0.0,0,0.0,0,0,0,Shawn Camp,0
25,Amateur Draft,-0.2,0,-0.1,-3,-1,33,Shawn Riggans,1
25,Amateur Draft,-0.0,1,0.1,-12,0,182,Joey Gathright*,7
25,Amateur Draft,0.0,0,0.0,0,0,0,Chad Orvella,0
30,Free Agency,0.0,0,0.0,0,0,0,Brian Meadows,0
30,Free Agency,0.0,0,0.0,0,0,0,Travis Harper*,0
30,Free Agency,2.8,4,2.0,11,21,322,Julio Lugo,11
32,Free Agency,-0.3,-4,-0.0,-13,-1,355,Damon Hollins,13
24,Amateur Free Agent,0.4,2,-1.4,-15,-15,448,Jorge Cantu,17
23,Amateur Draft,0.0,0,0.0,0,0,0,Jason Hammel,0
21,Amateur Draft,-0.2,1,-0.5,-12,-6,189,Melvin Upton,7
35,Free Agency,0.0,0,0.0,0,0,0,Dan Miceli,0
30,Traded,0.0,0,0.0,0,0,0,Tyler Walker,0
29,Traded,-0.0,0,-0.0,-1,-0,2,Jae Weong Seo,0
