Team,FT%,Reb,OFF,GP,PF,3FGM,3P%
All Teams,.500,9.0,3.0,2,2.0,0.0,.000
MAC,1.000,3.0,1.3,3,1.3,0.0,.000
MAC,.667,7.3,3.0,3,1.7,0.0,.000
MAC,.750,5.5,1.0,2,3.5,0.0,.000
MAC,.700,6.2,2.1,14,3.0,0.0,.000
All Teams,.778,6.1,2.3,7,3.9,0.0,.000
MAC,.556,9.2,3.0,4,3.0,0.2,1.000
MAC,.667,3.7,1.3,3,2.3,0.0,.000
All Teams,.703,6.6,2.5,29,2.9,0.0,.333
MAC,.714,4.0,2.3,3,2.0,0.0,.000
MAC,.706,7.0,2.9,15,2.9,0.1,.500
All Teams,.727,7.3,2.7,10,3.5,0.1,1.000
All Teams,.000,3.0,2.0,2,1.5,0.0,.000
MAC,.769,6.1,2.2,27,2.7,0.0,.000
MAC,.633,6.9,2.2,10,2.7,0.0,.000
MAC,.600,6.5,2.8,4,2.2,0.0,.000
MAC,.500,9.0,3.0,2,2.0,0.0,.000
MAC,.775,7.7,3.2,11,2.7,0.0,.000
MAC,.688,7.4,2.6,5,3.0,0.0,.000
MAC,.767,6.8,2.6,13,2.2,0.0,.000
MAC,.583,6.4,2.4,5,2.2,0.0,.000
MAC,.727,7.3,2.7,10,3.5,0.1,1.000
MAC,.750,5.7,1.3,3,3.3,0.0,.000
MAC,.857,7.6,3.4,5,1.8,0.0,.000
MAC,1.000,4.8,2.5,4,3.2,0.0,.000
