SEASON,TEAM,LEAGUE,GP,W,T,L,OTW,OTL,GF,GA,TP,RANK,POSTSEASON
1989 - 1990,Alleghe,Italy,36,19,4,13,-,-,208,145,42,5,Saved in relegation
1990 - 1991,Alleghe,Italy,36,20,2,14,-,-,193,155,42,5,-
1991 - 1992,Alleghe,Alpenliga,18,9,0,9,-,-,109,95,18,5,Did not make playoffs
1992 - 1993,Alleghe,Alpenliga,30,16,7,7,-,-,133,111,39,4,Champion
1993 - 1994,Alleghe,Alpenliga,28,17,6,5,-,-,99,79,40,4,Semifinal loss
 ,Alleghe,Italy,20,6,2,12,-,-,77,79,34,6,-
1994 - 1995,Alleghe,Italy,36,15,4,17,-,-,110,130,34,7,-
1995 - 1996,Alleghe,Alpenliga,10,1,0,9,-,-,23,63,2,6,Did not make playoffs
 ,Alleghe,Italy,-,-,-,-,-,-,-,-,-,-,-
1996 - 1997,Alleghe,Italy2,-,-,-,-,-,-,-,-,-,-,-
1997 - 1998,Alleghe,Italy,-,-,-,-,-,-,-,-,-,-,-
1998 - 1999,Alleghe,Alpenliga,30,8,0,22,-,-,106,161,19,12,Did not make playoffs
 ,Alleghe,Italy,16,5,-,11,-,-,58,90,17,7,Quarterfinal loss
1999 - 2000,Alleghe,Italy,28,17,-,8,2,1,140,78,56,6,-
2000 - 2001,Alleghe,Italy,40,17,-,18,-,5,141,147,69,6,-
2001 - 2002,Alleghe,Italy,42,24,-,15,-,3,151,138,51,2,Final loss
2002 - 2003,Alleghe,Italy,40,9,7,24,-,-,111,178,25,6,Did not make playoffs
2003 - 2004,Alleghe,Italy,42,20,6,16,-,-,149,136,49,5,Quarterfinal loss
2004 - 2005,Alleghe,Italy,36,8,6,22,-,-,89,153,22,9,Did not make playoffs
2005 - 2006,Alleghe,Italy,42,19,11,12,-,-,132,104,49,2,Semifinal loss
2006 - 2007,Alleghe,Italy,32,14,6,12,-,-,113,107,34,5,Quarterfinal loss
2007 - 2008,Alleghe,Italy,32,10,10,12,-,-,96,97,30,6,Quarterfinal loss
2008 - 2009,Alleghe,Italy,42,12,-,21,7,2,132,144,30,6,Did not make playoffs
2009 - 2010,Alleghe,Italy,40,12,-,21,3,4,114,150,46,7,Quarterfinal loss
2010 - 2011,Alleghe,Italy,40,12,-,22,0,6,109,143,42,8,Quarterfinal loss
2011 - 2012,Alleghe,Italy,46,20,-,18,5,3,139,152,45,5,Semifinal loss
2012 - 2013,Alleghe,Italy,44,17,-,11,11,5,137,108,44,4,Quarterfinal loss
2013 - 2014,Alleghe,Italy3,22,19,1,2,-,-,115,40,39,1,Champion
2014 - 2015,Alleghe,Italy2,20,14,-,6,0,0,88,57,42,3,Champion
2015 - 2016,Alleghe,Italy2,-,-,-,-,-,-,-,-,-,-,-
