MP,ORtg,eFG%,TS%,DRtg,Opp,Rk
9:00,48,.333,.333,125,DEN,17
21:00,116,.833,.833,114,GSW,39
28:00,125,.400,.460,127,HOU,53
14:00,106,.400,.510,98,SAC,40
14:00,83,.000,.258,115,SAC,56
17:00,121,.500,.615,103,ORL,11
15:00,13,.000,.000,93,MIN,50
29:00,93,.500,.479,113,UTA,52
6:00,0,.000,.000,101,DET,28
19:00,111,.571,.508,115,CHH,25
21:00,152,.700,.700,128,POR,55
26:00,69,.333,.333,93,VAN,3
15:00,84,.667,.581,119,HOU,61
8:00,144,.000,.532,109,SAC,59
12:00,154,.667,.667,126,PHO,63
19:00,133,.917,.917,100,SAS,64
3:00,0, , ,116,SEA,27
17:00,44,.250,.205,105,UTA,37
12:00,77,.333,.333,109,MIL,4
5:00,148,.667,.667,94,GSW,2
