Acquired,Salary,Pos Summary
 ,"$176,444,967", 
Amateur Draft,"$500,000",1
Free Agency, ,5/46
Free Agency, ,1
Amateur Draft,"$500,000",*5
Amateur Free Agent,"$3,666,667",/1
Free Agency,"$8,500,000",*2
Amateur Draft, ,/7
Amateur Draft, ,1
Amateur Free Agent,"$500,000",65/4
Amateur Free Agent, ,5/3
Free Agency,"$7,000,000",1
Amateur Draft, ,1
Amateur Draft,"$513,000",1
Amateur Draft,"$515,500",1
Free Agency,"$25,000,000",1
Traded, ,2
Amateur Free Agent,"$500,000",54/6
Traded,"$512,300",/1
Amateur Draft,"$25,000,000",*3/D
Amateur Free Agent,"$2,000,000",1
Traded,"$1,587,500",378/9
