Pitcher,Team,RCa,RCa/27,GB%,FB%,Pop%,LD%,IF/F,HR/F,K%,BB%,BABIP,DIPS3,FIP,ERC,xERA,LOB%
Jason Rice,Paw,13.4,7.4,33.9,26.8,5.4,33.9,16.7,0.0,19.8,11.6,0.439,5.8,-,6.99,6.23,72.2
Tyler Lockwood,Gre,9.7,9.3,36.4,24.2,6.1,33.3,20.0,0.0,22.0,0.0,0.515,4.75,-,6.64,5.65,60.0
Mitch Herold,Low,0.0,0.0,0.0,33.3,33.3,33.3,50.0,0.0,0.0,0.0,0.0,3.92,-,-0.56,-2.77, 
Braden Kapteyn,Low,3.4,4.6,40.0,30.0,0.0,30.0,0.0,0.0,36.1,33.3,0.364,6.05,-,6.9,5.52,43.8
Chris Balcom-Miller,Por,25.2,7.6,50.9,16.7,3.7,28.7,18.2,9.1,16.1,6.7,0.404,4.78,-,6.44,5.83,67.6
Kyle Fernandes,Por,9.4,5.3,34.1,31.8,6.8,27.3,17.6,5.9,25.3,8.0,0.31,4.98,-,3.52,2.78,67.8
Brenden Shepard,GCL,8.1,5.4,36.6,29.3,7.3,26.8,20.0,6.7,15.0,5.0,0.311,3.97,-,3.37,3.71,54.2
Juan Rodriguez,Gre,11.9,7.5,34.2,31.6,7.9,26.3,20.0,0.0,22.7,14.7,0.39,6.01,-,6.16,4.34,56.3
Alex Wilson,Por,8.4,4.7,44.4,22.2,7.4,25.9,25.0,6.3,19.4,5.6,0.358,3.72,-,4.03,4.07,79.6
Kyle Stroup,Gre,2.3,1.7,53.1,15.6,6.3,25.0,28.6,0.0,25.0,4.2,0.294,2.38,-,1.62,1.63,83.3
Michael Bowden,Paw,1.2,0.9,29.2,37.5,8.3,25.0,18.2,0.0,32.6,10.9,0.192,2.84,-,0.81,0.32,90.0
Stephen Fife,Por,18.1,6.2,44.6,26.5,4.8,24.1,15.4,3.8,20.0,10.4,0.366,4.64,-,4.69,4.19,74.0
Michael McCarthy,Low,6.2,7.0,28.6,42.9,4.8,23.8,10.0,20.0,27.8,11.1,0.3,4.72,-,6.01,6.43,43.5
Caleb Clay,Por,10.3,5.8,37.2,37.2,2.3,23.3,5.9,23.5,26.3,13.2,0.316,4.17,-,5.23,5.16,63.7
Brock Huntzinger,Por,28.1,8.5,31.6,37.9,7.4,23.2,16.3,18.6,22.2,7.6,0.349,5.07,-,6.88,6.46,71.8
Luis Bastardo,Low,6.3,3.6,41.0,25.6,10.3,23.1,28.6,7.1,22.5,16.9,0.225,4.13,-,2.91,2.68,68.0
Matt Fox,Paw,20.6,7.6,41.9,25.7,9.5,23.0,26.9,26.9,22.7,12.6,0.323,4.46,-,6.76,6.21,62.5
Drake Britton,Sal,16.5,9.1,37.3,31.4,9.8,21.6,23.8,14.3,28.0,6.1,0.458,3.55,-,6.88,6.59,67.2
Tony Pena,Paw,16.0,4.6,44.9,25.2,8.4,21.5,25.0,2.8,15.3,7.6,0.321,4.48,-,3.71,3.5,60.1
Kevin Brahney,Low,7.4,5.5,52.6,21.1,5.3,21.1,20.0,0.0,22.4,12.1,0.378,4.29,-,4.61,4.44,66.7
Reynolds Parthemore,GCL,3.3,2.4,44.1,29.4,5.9,20.6,16.7,0.0,18.5,13.0,0.235,4.77,-,2.34,1.48,76.5
Michael Gleason,SalGre,11.6,8.5,40.9,29.5,9.1,20.5,23.5,11.8,16.9,12.3,0.381,5.31,-,7.46,6.46,74.4
Nefi Ogando,Low,12.2,5.1,38.5,30.8,10.8,20.0,25.9,3.7,15.0,13.0,0.286,5.21,-,4.35,4.42,67.5
Scott Swinson,Gre,8.1,4.7,34.5,38.2,7.3,20.0,16.0,8.0,13.9,5.6,0.308,4.73,-,3.8,3.73,89.1
Charlie Haeger,Por,3.4,5.5,35.0,35.0,10.0,20.0,22.2,11.1,16.0,4.0,0.316,4.4,-,4.63,5.04,90.9
