Batter,Team,AB,H,AVG,2B,3B,HR,RBI,BB,K,SB,CS,SLG,OBP,OPS
Brian McCann,NY-A,48,13,0.271,3,0,1,2,2,13,2,0,0.396,0.314,0.71
Shane Victorino,ANA,43,14,0.326,2,0,0,2,2,5,2,0,0.372,0.356,0.728
Jimmy Rollins,LA,42,14,0.333,1,0,2,5,3,4,1,0,0.5,0.378,0.878
Ryan Howard,PHI,39,10,0.256,2,0,3,8,2,9,0,0,0.538,0.286,0.824
Chipper Jones, ,38,10,0.263,1,0,0,1,10,10,5,1,0.289,0.417,0.706
Ryan Zimmerman,WAS,38,10,0.263,0,0,1,6,5,5,1,0,0.342,0.341,0.683
Martin Prado,MIA,37,8,0.216,0,0,1,4,1,9,3,0,0.297,0.237,0.534
David Wright,NY-N,37,8,0.216,1,1,1,3,2,10,2,1,0.378,0.256,0.635
Chase Utley,PHI,33,7,0.212,0,0,0,1,6,9,1,0,0.212,0.341,0.554
Carlos Beltran,NY-A,31,8,0.258,1,0,0,5,5,7,4,0,0.29,0.361,0.651
Adam LaRoche,CHI-A,28,7,0.25,3,0,0,1,3,10,2,1,0.357,0.344,0.701
Jose Reyes,COL,28,6,0.214,0,1,0,1,3,3,0,0,0.286,0.29,0.576
Jeff Francoeur,PHI,27,7,0.259,0,0,0,4,1,8,0,0,0.259,0.258,0.517
Adam Dunn, ,27,4,0.148,1,0,1,2,2,13,0,0,0.296,0.207,0.503
Daniel Murphy,NY-N,26,6,0.231,2,0,0,0,2,2,0,2,0.308,0.286,0.593
Rafael Furcal, ,21,6,0.286,1,1,0,4,0,4,1,0,0.429,0.286,0.714
Willie Harris, ,21,5,0.238,2,0,1,2,7,7,1,0,0.476,0.429,0.905
Edgar Renteria, ,20,4,0.2,0,0,0,0,1,3,0,0,0.2,0.238,0.438
Cristian Guzman, ,19,5,0.263,0,0,0,0,0,5,1,0,0.263,0.263,0.526
Raul Ibanez, ,19,5,0.263,1,0,0,0,0,6,0,0,0.316,0.263,0.579
Alfonso Soriano, ,19,3,0.158,1,0,0,1,0,5,1,0,0.211,0.158,0.368
Brian Schneider, ,18,5,0.278,1,0,0,0,0,4,0,0,0.333,0.278,0.611
Yunel Escobar,WAS,18,4,0.222,0,0,0,0,1,1,0,0,0.222,0.263,0.485
Andre Ethier,LA,17,10,0.588,4,0,0,3,2,2,1,0,0.824,0.632,1.455
Angel Pagan,SF,17,6,0.353,0,0,0,1,1,1,0,0,0.353,0.389,0.742
Andruw Jones, ,17,4,0.235,0,0,0,1,1,6,2,0,0.235,0.316,0.551
Jayson Werth,WAS,17,4,0.235,0,0,1,3,3,10,2,0,0.412,0.35,0.762
Michael Bourn,CLE,17,3,0.176,2,0,0,0,2,5,0,0,0.294,0.263,0.557
Nate McLouth,WAS,17,3,0.176,0,0,0,0,1,6,1,0,0.176,0.263,0.44
Pete Orr,MIL,16,7,0.438,0,0,0,1,1,1,0,1,0.438,0.471,0.908
Adrian Gonzalez,LA,16,5,0.313,1,0,1,5,2,6,0,0,0.563,0.368,0.931
Felipe Lopez, ,16,4,0.25,0,0,0,0,2,3,0,0,0.25,0.333,0.583
Pedro Feliz, ,16,3,0.188,1,0,0,0,0,8,0,0,0.25,0.188,0.438
Jason Heyward,STL,16,3,0.188,0,0,0,1,3,4,0,0,0.188,0.3,0.488
Wil Nieves, ,16,3,0.188,1,0,0,0,2,2,0,0,0.25,0.278,0.528
Juan Pierre, ,16,3,0.188,1,0,0,0,0,1,1,0,0.25,0.188,0.438
Albert Pujols,ANA,15,7,0.467,0,0,1,2,1,2,0,0,0.667,0.5,1.167
Roger Bernadina,COL,15,6,0.4,1,0,0,2,0,1,0,0,0.467,0.375,0.842
Prince Fielder,TEX,15,6,0.4,1,1,0,3,3,1,0,0,0.6,0.526,1.126
Yadier Molina,STL,15,6,0.4,1,0,0,0,0,0,0,0,0.467,0.4,0.867
Ryan Braun,MIL,15,5,0.333,2,0,0,2,0,3,0,0,0.467,0.313,0.779
Carl Crawford,LA,15,5,0.333,1,0,1,3,2,0,1,0,0.6,0.412,1.012
Matt Kemp,SD,15,5,0.333,0,0,0,2,0,4,0,0,0.333,0.333,0.667
Pat Burrell, ,15,2,0.133,1,0,0,0,2,6,1,0,0.2,0.235,0.435
Carlos Delgado, ,15,1,0.067,1,0,0,0,1,4,0,0,0.133,0.176,0.31
Hunter Pence,SF,14,6,0.429,0,0,2,3,0,2,0,2,0.857,0.429,1.286
Matt Holliday,STL,14,4,0.286,1,0,0,3,0,2,0,0,0.357,0.286,0.643
Kelly Johnson,NY-N,14,4,0.286,0,1,0,1,3,6,0,0,0.429,0.412,0.84
Colby Rasmus,HOU,14,4,0.286,1,0,0,1,1,3,0,0,0.357,0.313,0.67
Luis Castillo, ,14,3,0.214,0,0,0,0,1,3,0,0,0.214,0.267,0.481
James Loney,TB,14,3,0.214,0,0,0,0,0,3,1,0,0.214,0.214,0.429
Julio Lugo, ,14,3,0.214,1,0,0,1,1,2,2,0,0.286,0.313,0.598
Brandon Phillips,CIN,14,3,0.214,0,0,0,0,0,2,3,0,0.214,0.214,0.429
Ike Davis,OAK,14,2,0.143,0,0,0,1,3,4,0,0,0.143,0.294,0.437
Ramon Hernandez, ,14,2,0.143,0,0,0,1,0,1,1,0,0.143,0.143,0.286
Carlos Ruiz,PHI,14,2,0.143,0,0,0,0,2,4,0,0,0.143,0.25,0.393
Chris Dickerson,TOR,13,6,0.462,0,0,0,0,0,5,0,0,0.462,0.462,0.923
Stephen Drew,NY-A,13,5,0.385,1,1,0,2,0,2,0,1,0.615,0.385,1.0
Rick Ankiel, ,13,4,0.308,1,0,0,2,3,5,0,0,0.385,0.438,0.822
Ian Desmond,WAS,13,4,0.308,1,0,0,2,1,6,1,0,0.385,0.357,0.742
Garret Anderson, ,13,3,0.231,2,0,1,3,0,2,0,0,0.615,0.214,0.83
Melky Cabrera,CHI-A,13,3,0.231,0,0,1,1,1,5,1,0,0.462,0.286,0.747
Marcus Giles, ,13,3,0.231,0,0,0,0,2,0,0,0,0.231,0.333,0.564
Seth Smith,SEA,13,3,0.231,0,0,0,0,0,0,0,0,0.231,0.231,0.462
Josh Willingham, ,13,2,0.154,0,1,0,1,4,5,0,0,0.308,0.353,0.661
Roy Halladay, ,13,0,0.0,0,0,0,0,0,7,0,0,0.0,0.0,0.0
Dan Uggla,WAS,13,0,0.0,0,0,0,0,2,4,0,0,0.0,0.133,0.133
Fernando Tatis, ,12,8,0.667,1,0,1,3,0,0,0,0,1.0,0.667,1.667
Aubrey Huff, ,12,6,0.5,1,0,0,1,3,2,1,0,0.583,0.6,1.183
Jason Bay, ,12,5,0.417,0,1,1,2,0,4,0,0,0.833,0.417,1.25
Lance Berkman, ,12,4,0.333,2,0,1,4,3,3,0,0,0.75,0.438,1.188
