Date,Opponent,Score,w,l,sv,ip,h,r,er,era,bb,k,hr
Feb 15,at Virginia Intermont,"L, 8-0",0,0,0,0.0,-,-,-,0.00,-,-,-
Feb 15,at Virginia Intermont,"L, 14-13",-,-,-,-,-,-,-,-,-,-,-
Feb 25,Bluefield,"L, 10-1",-,-,-,-,-,-,-,-,-,-,-
Feb 25,Bluefield,"W, 3-2",0,0,0,0.0,-,-,-,0.00,-,-,-
Mar 1,Washington Adventist,"W, 14-1",0,0,0,0.0,-,-,-,0.00,-,-,-
Mar 1,Washington Adventist,"W, 13-1",0,0,0,0.0,-,-,-,0.00,-,-,-
Mar 2,Randolph,"L, 4-3",-,-,-,-,-,-,-,-,-,-,-
Mar 2,Randolph,"L, 15-3",0,0,0,0.0,-,-,-,0.00,-,-,-
Mar 5,at East. Mennonite,"L, 11-0",0,0,0,0.0,-,-,-,0.00,-,-,-
Mar 5,at East. Mennonite,"W, 8-4",0,0,0,0.0,-,-,-,0.00,-,-,-
Mar 8,at WVU-Tech,"W, 7-5",0,0,0,0.0,-,-,-,0.00,-,-,-
Mar 8,at WVU-Tech,"L, 9-1",0,0,0,0.0,-,-,-,0.00,-,-,-
Mar 8,at WVU-Tech,"L, 11-5",0,0,0,0.0,-,-,-,0.00,-,-,-
Mar 13,Virginia-Wise,"L, 12-1",0,0,0,0.0,-,-,-,0.00,-,-,-
Mar 13,Virginia-Wise,"L, 13-5",0,0,0,0.0,-,-,-,0.00,-,-,-
Mar 20,Virginia Intermont,"L, 6-1",-,-,-,-,-,-,-,-,-,-,-
Mar 20,Virginia Intermont,"L, 10-1",0,0,0,0.0,-,-,-,0.00,-,-,-
Mar 23,at Wesley,"W, 4-1",-,-,-,-,-,-,-,-,-,-,-
Mar 23,at Wesley,"W, 12-4",0,0,0,0.0,-,-,-,0.00,-,-,-
Mar 28,Mary Baldwin,"W, 7-1",0,0,0,0.0,-,-,-,0.00,-,-,-
Mar 28,Mary Baldwin,"L, 9-1",0,0,0,0.0,-,-,-,0.00,-,-,-
Apr 2,Maine-Presque Isle,"W, 11-1",0,0,0,0.0,-,-,-,0.00,-,-,-
Apr 2,Maine-Presque Isle,"W, 13-2",-,-,-,-,-,-,-,-,-,-,-
Apr 5,at Bridgewater,"L, 5-2",-,-,-,-,-,-,-,-,-,-,-
Apr 5,at Bridgewater,"L, 11-6",-,-,-,-,-,-,-,-,-,-,-
Apr 8,at Davis & Elkins,"L, 4-3",-,-,-,-,-,-,-,-,-,-,-
Apr 8,at Davis & Elkins,"L, 9-1",0,0,0,0.0,-,-,-,0.00,-,-,-
Apr 12,at Virginia-Wise,"L, 8-0",0,0,0,0.0,-,-,-,0.00,-,-,-
Apr 12,at Virginia-Wise,"L, 9-2",0,0,0,0.0,-,-,-,0.00,-,-,-
Apr 16,at Randolph-Macon,"L, 3-1",0,0,0,0.0,-,-,-,0.00,-,-,-
