Batter,Team,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,AVG,OBP,SLG,OPS
Jeremias Pineda,GCL,25,94,14,41,7,2,0,16,10,6,5,14,0.436,0.47,0.553,1.023
Jake Davies,GCL,11,39,5,15,5,0,0,8,1,0,2,5,0.385,0.429,0.513,0.941
Jesus Loya,GCL,9,31,4,11,3,0,0,3,2,0,0,2,0.355,0.355,0.452,0.806
Deiner Lopez,GCL,19,58,9,19,5,0,0,6,2,1,4,10,0.328,0.381,0.414,0.795
Nathan Minnich,GCL,10,34,5,11,3,0,0,10,0,0,9,10,0.324,0.457,0.412,0.868
Nick Moore,GCL,22,74,20,22,5,0,0,8,5,1,15,19,0.297,0.422,0.365,0.787
Jose Colorado,GCL,24,80,16,23,8,0,1,13,6,4,15,17,0.288,0.402,0.425,0.827
Tzu-Wei Lin,GCL,11,39,9,11,1,0,0,4,1,0,8,9,0.282,0.404,0.308,0.712
Kolbrin Vitek,GCL,4,11,4,3,1,0,0,2,0,0,2,0,0.273,0.357,0.364,0.721
Cleuluis Rondon,GCL,20,79,9,19,5,2,0,9,2,1,5,21,0.241,0.282,0.354,0.637
David Sopilka,GCL,14,48,3,11,2,0,0,3,0,0,4,6,0.229,0.288,0.271,0.559
Keaton Briscoe,GCL,18,58,11,13,2,1,0,12,3,0,4,23,0.224,0.266,0.293,0.559
Iseha Conklin,GCL,16,54,7,11,4,0,1,7,1,1,3,22,0.204,0.29,0.333,0.624
Mike Meyers,GCL,11,32,2,6,1,0,0,0,0,0,3,13,0.188,0.257,0.219,0.476
Jacoby Ellsbury,GCL,2,6,2,1,0,0,1,2,0,0,1,1,0.167,0.286,0.667,0.952
Kevin Mager,GCL,12,45,3,7,4,0,0,7,0,0,1,10,0.156,0.208,0.244,0.453
Carlos Coste,GCL,6,13,1,2,0,0,0,2,0,0,0,6,0.154,0.214,0.154,0.368
Miguel Rodriguez,GCL,15,52,6,7,2,0,0,4,0,0,3,12,0.135,0.182,0.173,0.355
Beau Bishop,GCL,6,17,3,1,0,0,0,2,0,0,1,5,0.059,0.111,0.059,0.17
Shaq Green-Thompson,GCL,10,29,2,0,0,0,0,1,0,0,5,27,0.0,0.147,0.0,0.147
