ORB%,Rk,TS%,TOV%,Age,AST%,GS,BLK%,DRtg
0.0,14,.000,0.0,36-025,0.0,1,0.0,102
11.1,1,.773,20.5,35-362,15.4,1,0.0,94
13.7,58,.333,0.0,36-134,0.0,0,9.5,102
32.0,49,.532,0.0,36-104,0.0,1,0.0,121
6.2,17,.500,33.3,36-031,0.0,1,0.0,122
10.4,47,.500,50.0,36-098,0.0,1,6.0,101
15.4,67,1.000,25.0,36-154,0.0,1,0.0,91
6.9,2,.000,25.0,35-363,0.0,1,0.0,101
0.0,48,.500,33.3,36-099,0.0,1,8.3,91
7.0,36,.625,20.0,36-073,0.0,1,4.5,119
0.0,22,.875,0.0,36-039,0.0,0,4.7,121
9.9,40,.387,20.5,36-081,4.7,1,0.0,80
0.0,51,.000,50.0,36-108,0.0,1,0.0,117
0.0,69, , ,36-158,0.0,0,0.0,127
31.1,4,.527,16.1,36-003,0.0,1,0.0,94
0.0,45, ,100.0,36-091,0.0,1,10.3,93
0.0,59,.500,33.3,36-135,0.0,0,0.0,109
0.0,56,.532,34.7,36-129,0.0,0,0.0,113
12.0,8,.667,40.0,36-010,0.0,1,7.6,93
7.9,33,.000,33.3,36-064,0.0,1,4.3,102
0.0,9,1.000,50.0,36-011,0.0,1,0.0,137
