Tm,DRB%,GmSc,ORB%,TOV%,BLK%,DRtg,Date
NJN,44.1,-0.4,0.0,66.7,8.9,80,2007-01-22
NJN,5.5,2.7,9.8,0.0,4.4,102,2007-03-15
NJN,21.3,5.2,3.9, ,7.9,105,2007-02-27
NJN,13.3,11.9,0.0,0.0,0.0,104,2006-12-26
NJN,18.4,-1.8,6.4,20.5,0.0,119,2007-01-13
NJN,17.1,1.0,8.6,53.2,3.0,124,2007-02-21
NJN,0.0,-3.7,0.0,50.0,0.0,124,2007-04-15
NJN,14.2,-0.4,0.0,0.0,6.6,102,2007-04-10
NJN,14.0,3.5,11.0,29.1,0.0,109,2006-12-13
NJN,0.0,-1.5,6.9,0.0,0.0,111,2007-04-16
NJN,3.5,-1.0,11.3,20.0,0.0,116,2006-12-02
NJN,22.9,-0.9,11.2,50.0,0.0,119,2006-11-29
NJN,26.4,1.8,0.0,0.0,5.7,110,2007-04-06
NJN,25.5,0.0,0.0, ,5.7,88,2007-04-04
NJN,3.3,2.9,0.0,23.1,0.0,123,2006-12-20
NJN,9.5,1.4,9.2,25.0,0.0,135,2007-01-29
NJN,18.6,-1.8,7.9,50.0,2.5,110,2007-02-25
NJN,0.0,0.3,0.0, ,0.0,103,2006-12-18
NJN,13.6,1.9,0.0,0.0,10.6,98,2006-12-11
NJN,23.6,-1.1,10.7,34.0,0.0,102,2006-11-18
NJN,19.3,6.2,3.8,25.8,2.5,106,2006-11-26
NJN,17.4,-1.4,10.1,17.7,0.0,120,2007-02-04
NJN,4.6,2.4,3.9,36.2,0.0,106,2007-03-18
NJN,11.8,-4.0,9.5,21.0,0.0,113,2007-01-19
NJN,3.8,-2.2,3.5,21.0,0.0,103,2006-11-03
NJN,12.6,2.2,10.0,50.0,4.5,95,2007-01-20
NJN,17.2,7.3,3.9,12.9,1.8,100,2006-11-28
