ORB,SPG,PF,3P%,DRB
0.9,0.6,2.1,0.38,2.2
0.7,1.7,2.9,0.46,3.1
0.5,0.4,1.5,0.293,1.5
0.6,0.9,2.0,0.392,2.6
0.7,0.4,1.8,0.333,2.5
0.2,0.7,2.3,0.359,1.7
0.5,0.3,1.9,0.416,0.7
0.8,1.5,3.0,0.4,2.2
1.0,1.0,3.5,0.167,4.5
0.5,0.6,1.9,0.341,1.8
0.3,1.7,4.7,0.0,2.7
0.4,1.1,2.2,0.345,3.5
0.2,0.7,1.8,0.379,1.0
2.5,1.0,4.0,1.0,3.0
0.6,0.9,2.4,0.342,1.9
0.6,1.9,2.9,0.344,3.4
0.1,1.2,2.6,0.453,2.0
1.2,1.1,2.8,0.369,4.2
0.0,0.3,1.3,0.4,2.3
0.3,0.9,1.5,0.402,1.5
0.2,0.4,1.2,0.467,1.3
1.1,1.6,2.6,0.325,2.5
0.8,1.2,3.2,0.0,2.5
2.7,1.0,3.3,0.0,1.8
0.3,0.3,3.0,0.214,2.0
0.6,0.6,2.3,0.374,1.6
0.6,0.4,2.0,0.318,1.6
1.0,1.5,1.5,0.25,1.5
1.8,0.2,0.8,0.0,2.2
0.5,0.5,2.2,0.36,1.1
0.8,0.5,1.5,0.3,1.5
1.9,0.7,1.8,0.353,4.1
0.6,0.3,1.9,0.213,2.2
0.5,0.6,2.1,0.425,3.5
0.1,0.5,1.7,0.35,1.2
0.1,0.7,1.9,0.417,1.2
0.4,0.5,1.8,0.403,1.7
1.3,0.7,1.3,0.214,4.0
1.5,0.7,1.6,0.2,1.5
0.7,0.8,2.6,0.292,2.1
0.2,0.7,1.1,0.401,1.5
0.5,0.6,2.5,0.2,1.6
0.3,0.7,2.1,0.433,1.4
0.4,0.3,1.5,0.364,1.3
0.0,1.2,1.5,0.3,1.0
1.3,1.7,1.9,0.351,1.9
0.5,0.6,2.5,0.395,1.2
0.4,1.1,2.7,0.306,1.3
0.8,0.6,1.4,0.327,2.8
0.2,0.3,1.2,0.5,0.4
0.3,0.7,2.6,0.305,1.0
0.8,0.7,2.0,0.338,2.1
1.8,1.4,2.4,0.391,4.2
0.6,0.4,1.4,0.167,1.2
0.0,0.3,3.0,0.2,2.7
0.7,1.0,1.3,0.333,0.7
0.5,2.1,3.0,0.472,1.5
