No.,Name,Yr,g,ab,r,h,2b,3b,hr,rbi,bb,k,sb,cs,avg,obp,slg
2.0,Mark Behne,So,35,139,22,45,3,1,-,16,14,19,9,4,0.324,0.386,0.36
24.0,Matt Hanks,Jr,35,132,15,35,3,-,-,14,13,12,5,3,0.265,0.374,0.288
4.0,Kyle Wood,So,35,129,21,35,3,2,-,21,14,24,8,2,0.271,0.358,0.326
3.0,Blake Thompson,Jr,32,128,18,34,8,1,-,15,6,29,5,2,0.266,0.295,0.344
8.0,Cory Sonnega,So,34,122,17,35,5,-,-,17,12,19,4,-,0.287,0.367,0.328
5.0,Lukas Laplante,Sr,35,118,31,36,7,2,2,20,14,15,8,1,0.305,0.414,0.449
1.0,Dan Sabourin,Jr,30,104,17,19,1,1,-,7,19,21,7,1,0.183,0.331,0.212
15.0,Kyle Jackson,Fr,34,94,16,21,2,2,-,12,11,15,2,2,0.223,0.296,0.287
20.0,Brendan McNeil,Fr,24,67,8,19,4,2,1,16,7,21,1,1,0.284,0.36,0.448
6.0,Ed Lazowski,So,18,46,11,12,2,-,-,7,4,13,5,-,0.261,0.32,0.304
21.0,Dave Wolinski,Sr,15,43,3,12,1,-,1,11,3,8,1,-,0.279,0.306,0.372
16.0,Michael Jeffko,Fr,11,22,2,4,1,-,-,1,-,6,1,-,0.182,0.217,0.227
9.0,Matt Devlin,Fr,7,12,0,0,-,-,-,0,-,3,-,-,0.0,0.0,0.0
17.0,Justin Rebholz,Fr,18,2,0,0,-,-,-,1,1,-,-,-,0.0,0.333,0.0
14.0,Timbo Duncan,Fr,1,1,0,1,-,-,-,0,-,-,-,-,1.0,1.0,1.0
26.0,Jordan Hopson,Fr,1,1,0,0,-,-,-,0,-,1,-,-,0.0,0.0,0.0
19.0,Tyras Schisler,Fr,1,1,0,0,-,-,-,0,-,-,-,-,0.0,0.0,0.0
 ,Totals, ,35,1161,181,308,40,11,4,158,118,206,56,16,0.265,0.347,0.329
 ,Opponent, ,35,1121,209,318,59,2,7,176,176,153,84,24,0.284,0.401,0.359
