DRtg,MP,Date,Tm,AST%,STL%
97,30:00,1987-03-10,ATL,4.7,0.0
84,32:00,1986-11-20,ATL,0.0,1.5
82,26:00,1987-01-03,ATL,0.0,1.8
88,36:00,1987-01-24,ATL,5.1,1.5
96,27:00,1987-01-30,ATL,0.0,1.9
93,18:00,1987-03-15,ATL,0.0,0.0
79,23:00,1986-12-09,ATL,4.4,2.0
111,20:00,1986-11-19,ATL,0.0,0.0
87,14:00,1987-02-11,ATL,0.0,0.0
113,15:00,1986-11-26,ATL,0.0,3.4
90,28:00,1987-03-20,ATL,0.0,1.8
111,24:00,1987-03-26,ATL,0.0,0.0
101,26:00,1987-03-13,ATL,0.0,2.0
100,27:00,1986-11-14,ATL,5.2,1.9
111,27:00,1986-11-11,ATL,0.0,3.7
107,6:00,1987-02-24,ATL,0.0,8.4
85,21:00,1986-11-15,ATL,0.0,0.0
106,18:00,1987-02-23,ATL,0.0,2.9
107,25:00,1987-02-10,ATL,0.0,1.9
112,31:00,1987-02-01,ATL,0.0,0.0
122,27:00,1987-04-16,ATL,0.0,0.0
73,14:00,1987-04-12,ATL,0.0,0.0
121,13:00,1987-04-15,ATL,0.0,3.8
115,28:00,1987-01-12,ATL,0.0,0.0
90,34:00,1987-03-24,ATL,4.4,1.5
124,31:00,1986-11-30,ATL,0.0,0.0
125,7:00,1987-03-18,ATL,0.0,0.0
103,27:00,1986-11-22,ATL,0.0,1.9
125,5:00,1987-01-06,ATL,0.0,0.0
101,22:00,1987-04-01,ATL,0.0,2.3
100,22:00,1986-12-04,ATL,0.0,0.0
100,14:00,1986-11-01,ATL,0.0,0.0
84,31:00,1987-01-14,ATL,0.0,6.1
126,10:00,1987-04-19,ATL,14.0,0.0
79,28:00,1986-11-07,ATL,14.0,1.6
120,23:00,1986-12-12,ATL,0.0,0.0
114,17:00,1987-03-09,ATL,0.0,0.0
109,32:00,1987-04-13,ATL,0.0,0.0
