2B,SO,R,H,SH
11,37,19,43,2
10,82,29,39,4
22,94,66,160,11
4,35,11,26,0
7,31,19,16,3
17,79,43,82,0
4,16,3,7,1
1,18,4,12,0
1,2,2,4,0
31,92,74,155,0
0,1,0,3,0
4,29,15,34,3
3,17,7,10,1
1,8,2,3,0
5,33,7,21,0
10,18,16,24,0
8,60,14,41,0
0,15,2,4,1
0,4,0,0,0
0,6,12,19,0
0,1,0,0,0
25,98,79,139,3
5,21,10,18,0
11,61,20,45,0
12,28,22,57,5
12,54,25,56,2
16,56,26,54,1
19,28,35,64,0
1,0,0,1,0
0,5,3,5,0
0,1,1,2,0
5,53,11,41,5
15,62,40,89,2
12,54,18,47,1
13,76,31,73,2
12,51,40,68,1
1,15,11,19,1
6,63,20,28,1
21,66,22,65,0
19,77,54,127,6
14,52,36,71,0
2,16,6,11,0
0,5,2,3,0
8,20,21,45,0
9,28,24,40,4
9,78,40,70,0
2,26,6,11,1
0,2,2,3,0
8,34,13,35,0
19,91,35,91,9
20,48,42,76,2
24,119,62,138,0
2,2,3,2,0
6,21,12,32,1
0,4,3,6,0
27,97,86,112,6
4,37,11,20,0
14,129,57,99,7
0,4,1,6,0
18,161,72,109,5
4,31,11,27,0
23,48,42,120,4
2,8,3,7,1
21,57,51,104,9
5,27,13,19,4
1,6,1,3,0
9,48,23,71,2
2,21,12,24,1
27,61,73,125,1
17,105,61,112,4
33,108,70,96,0
1,7,10,24,1
9,60,35,64,2
2,4,1,4,0
0,3,1,0,0
1,5,3,5,0
12,64,21,41,0
1,2,2,3,0
21,117,57,98,0
0,9,2,5,1
9,70,20,47,0
0,1,1,1,0
28,107,66,137,0
8,63,43,71,6
29,100,67,136,0
6,13,12,35,2
5,36,17,35,0
1,5,2,5,0
8,17,13,33,2
6,39,30,48,2
4,17,26,37,2
17,86,31,68,3
3,5,1,8,1
22,113,56,115,1
18,101,36,59,0
10,40,39,65,0
4,13,14,24,1
3,11,6,11,0
12,41,31,70,7
1,22,10,13,2
13,27,14,35,0
0,0,1,2,0
10,43,19,46,2
6,36,18,35,0
21,82,63,108,0
10,41,23,45,0
0,7,3,7,0
15,50,36,53,1
2,7,5,10,1
0,18,4,12,1
18,77,33,57,0
0,9,1,2,0
0,1,0,0,0
19,55,40,67,0
14,49,70,116,3
0,16,7,17,1
6,74,19,50,0
16,111,76,124,4
15,84,43,82,4
23,76,54,82,0
13,57,23,51,1
0,0,2,2,0
2,2,5,6,0
16,36,33,73,0
31,153,66,108,1
2,13,7,15,1
19,67,40,82,1
0,13,3,9,0
0,3,3,2,0
4,18,5,16,1
16,66,41,78,1
30,85,50,122,1
18,127,53,101,5
12,103,42,71,2
8,39,24,47,2
3,56,19,32,1
11,25,17,37,0
4,15,9,23,1
30,94,77,120,2
4,26,13,35,3
0,2,0,2,0
14,56,31,56,2
13,51,28,54,0
16,61,40,65,6
0,9,2,6,0
16,74,67,111,3
10,32,34,49,1
4,26,14,17,1
18,116,44,88,1
22,60,47,93,3
0,32,13,16,3
2,18,10,22,2
0,1,1,4,0
0,2,3,3,0
3,18,7,11,3
2,9,2,6,0
13,31,47,94,0
25,113,51,92,0
0,2,1,3,0
0,9,6,4,0
21,138,67,93,0
0,1,0,0,0
22,123,56,102,0
9,58,22,41,0
15,81,35,55,0
15,55,34,54,4
23,72,61,97,2
3,22,5,8,2
10,55,27,58,2
5,10,7,15,0
5,22,21,50,4
0,0,0,0,0
