Rk,G,USG%,DRB%,TS%,GmSc,MP,STL%
20,20,17.0,36.1,.592,8.8,19:00,0.0
75,75,20.4,16.8,.250,2.2,11:00,4.7
36,36,15.0,18.0,.338,0.3,14:00,0.0
52,52,11.7,30.6,.410,6.9,19:00,0.0
62,62,7.4,16.0,.000,-0.5,18:00,0.0
12,12,13.4,29.7,.931,8.0,17:00,0.0
55,55,13.8,33.3,.750,9.4,18:00,0.0
19,19,9.0,48.0,.644,7.0,20:00,0.0
11,11,15.2,12.8,.571,8.8,24:00,4.4
35,35,17.3,35.7,.184,5.2,16:00,3.2
28,28,0.0,14.0, ,0.2,8:00,0.0
40,40,8.7,16.3,.000,0.7,21:00,0.0
80,80,5.1,23.0,1.000,6.2,19:00,0.0
57,57,18.4,7.0,.685,9.1,25:00,0.0
17,17,14.4,18.2,.490,2.3,17:00,0.0
27,27,11.1,18.8,.333,2.2,17:00,0.0
10,10,23.7,7.9,.311,2.0,19:00,0.0
1,1,10.2,35.3,.362,2.2,16:00,3.1
58,58,7.9,11.0,.667,5.6,23:00,0.0
42,42,9.7,4.4,.820,6.9,25:00,0.0
68,68,17.6,10.4,.451,7.5,20:00,0.0
54,54,5.5,24.0,.667,9.2,25:00,0.0
47,47,11.4,15.8,.000,2.2,19:00,0.0
41,41,17.9,21.1,.250,-1.0,13:00,0.0
34,34,3.8,20.5,.000,0.5,12:00,4.6
48,48,13.2,27.4,.396,7.4,25:00,2.2
43,43,13.5,0.0,.000,-2.2,10:00,0.0
37,37,9.0,13.4,.340,6.5,34:00,1.5
30,30,5.0,21.5,.532,1.6,19:00,0.0
15,15,5.1,33.3,.568,1.8,8:00,6.6
32,32,8.7,18.2,.000,-2.1,22:00,0.0
2,2,4.2,29.1,.568,0.7,22:00,2.5
74,74,5.4,19.7,.000,2.9,17:00,3.1
13,13,6.1,27.2,.500,2.8,15:00,0.0
60,60,15.7,35.2,.521,7.8,21:00,2.4
70,70,17.8,13.6,.400,4.6,22:00,0.0
56,56,20.9,15.0,.699,18.8,29:00,0.0
39,39,19.6,7.9,.455,9.0,31:00,0.0
