SB,AB,2B,Team,OPS,SF,3B,AVG,G
2,7,0,CAM,.286,0,0,.143,24
0,1,0,TAB,.500,0,0,.000,1
1,217,2,CHI,.799,1,3,.258,85
16,378,14,LAR,.688,3,5,.267,102
0,54,0,OAX,.399,0,0,.185,38
0,205,7,TAB,.595,2,0,.244,75
18,382,29,SLT,.969,4,1,.351,103
2,352,20,PUE,.710,0,3,.276,95
0,20,0,OAX,.650,0,0,.250,6
1,310,15,CAM,.778,3,0,.261,97
1,109,7,VAQ,.752,2,0,.257,33
0,23,1,MVA,.511,0,0,.217,18
13,276,20,PUE,.927,7,0,.337,75
12,385,21,QR,.751,2,3,.299,99
2,356,21,MXO,.894,7,3,.289,100
0,14,0,SLT,.481,0,0,.214,10
3,371,25,LAR,.960,4,1,.361,104
0,8,0,OAX,.236,1,0,.125,8
1,41,4,TIJ,.684,0,0,.268,10
4,262,10,TIJ,.598,2,0,.214,74
0,159,5,MTY,.627,1,0,.245,61
3,322,19,SLT,.784,2,4,.295,77
4,178,14,MIN,.788,0,1,.331,48
1,14,0,VAQ,.571,0,0,.286,8
3,128,6,QR,.692,0,1,.250,36
0,7,1,VAQ,.429,0,0,.143,8
7,309,15,YUC,.772,3,2,.314,93
0,1,0,TIJ,.000,0,0,.000,1
5,397,21,VRA,.742,1,2,.280,108
4,159,9,OAX,.784,4,1,.283,45
9,379,30,CHI,.891,2,5,.319,104
1,224,7,QR,1.010,0,0,.339,56
0,113,6,LAR,.842,0,0,.283,30
6,55,3,MXO,.844,1,0,.309,45
1,30,1,VRA,.252,0,0,.067,9
0,131,5,CHI,.547,0,0,.206,45
7,226,10,LAR,.623,3,0,.274,66
0,36,1,TAB,.532,0,0,.222,25
2,378,25,YUC,.800,2,2,.325,106
2,25,0,OAX,.433,0,0,.120,7
1,234,10,QR,.840,0,0,.308,66
0,295,23,MXO,.948,2,0,.315,76
1,134,6,PUE,.781,3,0,.343,47
2,163,6,LAR,.603,0,0,.252,65
10,157,3,CHI,.740,2,2,.312,54
0,27,0,MXO,.311,0,0,.111,18
0,220,17,VRA,.917,4,0,.345,75
0,80,9,YUC,.617,2,0,.238,38
26,409,32,MVA,.919,1,6,.333,103
8,113,4,MIN,.604,0,1,.257,52
3,210,11,TIJ,.648,2,4,.267,75
0,56,5,MIN,.804,0,0,.286,15
2,142,5,PUE,.536,0,0,.232,56
4,89,5,QR,.627,0,0,.258,59
0,262,19,PUE,.827,3,0,.332,72
0,300,15,VAQ,.818,6,0,.260,93
13,368,15,MVA,.754,11,1,.277,105
2,290,13,MTY,.748,6,0,.252,83
0,0,0,MXO,--,0,0,--,2
2,232,9,CHI,.648,2,0,.259,69
0,101,4,MIN,.685,0,0,.238,55
2,233,14,MTY,.794,1,1,.292,70
10,368,26,MIN,.856,3,5,.318,105
3,378,19,TIJ,.834,4,0,.310,107
9,294,16,MTY,.778,2,1,.316,76
0,365,22,CHI,.863,2,0,.301,103
0,146,4,MVA,.653,1,1,.260,59
6,141,11,MTY,.765,1,0,.270,39
6,188,14,MXO,1.110,1,1,.420,52
1,335,15,PUE,.657,3,1,.269,89
3,240,14,OAX,.633,2,1,.254,83
3,58,3,MIN,.712,1,0,.224,16
2,55,2,MTY,.499,1,0,.200,15
10,396,15,TIJ,.794,1,0,.295,104
3,309,17,TAB,.869,6,0,.301,91
1,162,12,VAQ,.739,2,0,.278,41
0,19,1,VAQ,.385,0,0,.105,6
1,311,21,VAQ,.692,2,0,.273,90
9,387,13,MIN,.720,1,2,.305,93
2,190,7,CHI,.717,2,0,.284,64
2,234,12,OAX,.615,2,1,.239,68
0,7,1,TAB,1.127,0,0,.429,3
0,13,0,TIJ,.000,0,0,.000,6
0,359,25,OAX,1.019,5,0,.357,104
0,129,10,MXO,1.092,1,1,.372,37
8,338,11,MVA,.608,3,1,.269,104
1,206,9,MIN,.571,1,1,.238,82
1,47,0,VAQ,.695,0,0,.234,13
1,104,6,CHI,.657,2,0,.250,48
8,389,14,LAR,.859,1,2,.326,103
0,24,0,TAB,.250,0,0,.125,22
0,104,4,OAX,.798,0,0,.279,28
0,17,1,CHI,.376,1,0,.118,9
6,119,10,TAB,1.020,2,0,.353,33
0,12,1,MIN,.381,0,0,.083,4
0,18,0,MIN,.586,0,0,.222,19
2,76,1,PUE,.542,1,0,.197,35
1,274,15,CHI,.688,0,0,.285,84
0,157,6,MXO,.777,5,1,.280,69
0,71,2,VAQ,.504,2,0,.225,36
1,211,8,SLT,.618,4,2,.246,67
15,476,22,VRA,.732,4,3,.305,110
0,4,0,QR,.500,0,0,.250,8
3,408,22,QR,.848,3,1,.284,109
1,41,1,TIJ,.682,1,0,.317,27
0,177,6,PUE,.644,0,0,.254,60
0,35,0,CAM,.110,0,0,.029,10
0,378,17,TAB,.707,2,4,.294,102
3,173,8,CHI,.796,1,0,.335,43
19,395,22,MTY,.834,4,1,.322,96
2,284,16,SLT,.735,7,4,.292,86
24,433,34,VAQ,.899,4,2,.330,108
7,288,20,MTY,.702,1,0,.257,98
0,45,2,SLT,.580,0,0,.222,29
3,257,8,LAR,.640,0,1,.245,76
4,232,6,VRA,.603,4,2,.263,85
3,376,14,CAM,.782,2,0,.293,106
