Name,Country,sex,tour,sl,tr,ju,class,round,div,date,place,site id,line/ramp,speed
 , , , , , , , , , , , , , , 
KAMIYA Harue,JPN,F,09AUS312,0.0,0.0,31.0,L,1.0,OW,03/10/2008,9.0,AUS3030,0.255,54.0
 , , , , , , , , , , , , , , 
KAMIYA Harue,JPN,F,09AUS312,0.0,0.0,31.0,L,2.0,OW,03/11/2008,9.0,AUS3030,0.255,54.0
 , , , , , , , , , , , , , , 
KAMIYA Harue,JPN,F,08S072R,0.0,0.0,36.5,L,1.0,W2,07/13/2008,1.0,USAS0288,0.235,54.0
 , , , , , , , , , , , , , , 
KAMIYA Harue,JPN,F,09S058R,0.0,0.0,37.3,R,1.0,OW,10/18/2008,3.0,USAS0306,0.255,54.0
 , , , , , , , , , , , , , , 
KAMIYA Harue,JPN,F,09S058R,0.0,0.0,33.8,R,2.0,OW,10/18/2008,3.0,USAS0306,0.255,54.0
 , , , , , , , , , , , , , , 
KAMIYA Harue,JPN,F,09S058R,0.0,0.0,40.4,R,3.0,OW,10/18/2008,3.0,USAS0306,0.235,54.0
 , , , , , , , , , , , , , , 
KAMIYA Harue,JPN,F,09S098R,0.0,0.0,38.6,R,1.0,OW,04/23/2009,9.0,USAS0306,0.255,54.0
 , , , , , , , , , , , , , , 
KAMIYA Harue,JPN,F,09S098R,0.0,0.0,39.7,R,2.0,OW,04/23/2009,9.0,USAS0306,0.255,54.0
 , , , , , , , , , , , , , , 
KAMIYA Harue,JPN,F,09S099R,0.0,0.0,37.8,R,1.0,OW,04/18/2009,10.0,USAS0306,0.255,54.0
 , , , , , , , , , , , , , , 
KAMIYA Harue,JPN,F,09S099R,0.0,0.0,38.5,R,2.0,OW,04/18/2009,10.0,USAS0306,0.255,54.0
 , , , , , , , , , , , , , , 
KAMIYA Harue,JPN,F,08S131B,0.0,0.0,35.9,L,1.0,OW,07/27/2008,1.0,USAS0355,0.255,54.0
 , , , , , , , , , , , , , , 
KAMIYA Harue,JPN,F,09S032R,0.0,0.0,39.9,R,1.0,OW,10/05/2008,5.0,USAS0355,0.255,54.0
 , , , , , , , , , , , , , , 
KAMIYA Harue,JPN,F,09S032R,40.0,0.0,0.0,R,1.0,OW,10/05/2008,3.0,USAS0355,4.00@14.250,55.0
 , , , , , , , , , , , , , , 
KAMIYA Harue,JPN,F,09S032R,0.0,0.0,38.7,R,2.0,OW,10/05/2008,5.0,USAS0355,0.255,54.0
 , , , , , , , , , , , , , , 
KAMIYA Harue,JPN,F,09S032R,40.0,0.0,0.0,R,2.0,OW,10/05/2008,3.0,USAS0355,4.00@14.250,55.0
 , , , , , , , , , , , , , , 
KAMIYA Harue,JPN,F,09S063R,0.0,0.0,39.0,L,1.0,OW,11/05/2008,2.0,USAS0355,0.255,54.0
 , , , , , , , , , , , , , , 
KAMIYA Harue,JPN,F,09S063R,0.0,0.0,41.5,L,2.0,OW,11/05/2008,2.0,USAS0355,0.235,54.0
