BLK%,AST%,Rk,DRtg,Opp,G,TRB%
0.0,0.0,8,114,PHI,8,0.0
0.0,0.0,41,118,BOS,41,0.0
0.0,0.0,29,117,MIL,29,7.6
0.0,0.0,52,126,DET,52,9.5
0.0,7.6,28,112,PHO,28,11.7
0.0,0.0,22,104,SAS,22,0.0
0.0,0.0,14,51,MIL,14,53.7
0.0,42.9,33,106,DET,33,28.9
0.0,0.0,36,96,PHI,36,19.3
0.0,11.6,30,92,BOS,30,6.2
0.0,25.0,51,100,CHH,51,20.3
0.0,0.0,10,119,LAC,10,8.6
0.0,72.7,32,111,ATL,32,20.3
0.0,29.6,18,75,MIA,18,19.3
0.0,10.1,38,102,WSB,38,11.2
0.0,0.0,27,101,WSB,27,9.7
0.0,0.0,5,136,SAC,5,8.0
0.0,0.0,40,113,SAS,40,11.6
