Date,Opponent,Score,tack,ast,tot,sack,lost,tfl,yds,ff,fr,td,int,brup,blk,saf
Sep 1,at Augsburg,"L, 41-20",-,-,0,-,-,0,-,-,-,-,-,-,-,-
Sep 8,at Macalester,"L, 17-13",-,-,0,-,-,0,-,-,-,-,-,-,-,-
Sep 15,Trine,"W, 13-10",-,-,0,-,-,0,-,-,-,-,-,-,-,-
Sep 29,at Benedictine,"W, 6-0",-,-,0,-,-,0,-,-,-,-,-,-,-,-
Oct 6,Maranatha Baptist,"W, 55-8",-,-,0,-,-,0,-,-,-,-,-,-,-,-
Oct 13,Concordia Chicago,"L, 47-44",-,-,0,-,-,0,-,-,-,-,-,-,-,-
Oct 20,at Lakeland,"W, 23-16",-,-,0,-,-,0,-,-,-,-,-,-,-,-
Oct 27,Rockford,"W, 40-3",-,-,0,-,-,0,-,-,-,-,-,-,-,-
Nov 3,at Aurora,"W, 45-31",0,1,1,-,-,0,-,-,-,-,-,-,-,-
Nov 10,Wisconsin Lutheran,"W, 17-14",-,-,0,-,-,0,-,-,-,-,-,-,-,-
