Date,Match,Result,Appearance,MINS,G,A,SHT,SOG,FC,FS,Y,R
8/1/2015,NYR @ PHI,L 3-1,Started,64,0,0,2,0,2,1,0,0
7/26/2015,PHI @ DC,L 2-3,Started,67,0,1,0,0,0,0,0,0
7/18/2015,PHI @ TOR,L 1-2,Subbed On,29,0,0,0,0,0,0,0,0
7/11/2015,POR @ PHI,W 0-3,Subbed On,11,0,0,2,2,0,0,0,0
6/27/2015,MTL @ PHI,T 2-2,Started,57,0,0,2,0,1,0,0,0
6/24/2015,SEA @ PHI,W 0-1,Started,89,0,0,2,1,1,2,0,0
6/20/2015,PHI @ LA,L 1-5,Started,90,0,0,2,1,0,1,0,0
6/6/2015,NYC @ PHI,L 2-1,Subbed On,21,0,0,3,1,0,0,0,0
6/3/2015,CLB @ PHI,W 0-3,Subbed On,11,0,0,1,1,0,0,0,0
5/30/2015,PHI @ DC,L 1-2,Subbed On,9,0,0,0,0,1,0,0,0
5/24/2015,PHI @ NYR,W 2-0,Subbed On,16,0,0,0,0,1,0,0,0
5/17/2015,DC @ PHI,W 0-1,Subbed On,19,1,0,2,1,0,1,0,0
5/9/2015,PHI @ VAN,L 0-3,Started,90,0,0,1,0,0,3,0,0
5/2/2015,TOR @ PHI,L 1-0,Started,90,0,0,3,0,3,1,0,0
4/25/2015,PHI @ CLB,L 1-4,Unused Sub,0,0,0,0,0,0,0,0,0
4/19/2015,NE @ PHI,L 2-1,Started,78,0,0,0,0,3,0,0,0
4/16/2015,PHI @ NYC,T 1-1,Subbed On,27,0,0,2,1,1,1,0,0
4/11/2015,NYC @ PHI,W 1-2,Started,84,1,0,3,1,0,1,0,0
4/5/2015,PHI @ KC,L 2-3,Unused Sub,0,0,0,0,0,0,0,0,0
3/29/2015,PHI @ CHI,L 0-1,Unused Sub,0,0,0,0,0,0,0,0,0
3/21/2015,DAL @ PHI,L 2-0,Started,42,0,0,1,1,1,0,0,1
3/14/2015,PHI @ RSL,T 3-3,Subbed On,11,0,0,0,0,1,1,0,0
3/7/2015,COL @ PHI,T 0-0,Subbed On,5,0,0,1,0,0,0,0,0
10/26/2014,PHI @ CLB,L 1-2,Subbed On,17,1,0,1,1,1,1,0,0
10/18/2014,KC @ PHI,W 1-2,Unused Sub,0,0,0,0,0,0,0,0,0
10/11/2014,CLB @ PHI,L 3-2,Unused Sub,0,0,0,0,0,0,0,0,0
10/2/2014,CHI @ PHI,T 1-1,Unused Sub,0,0,0,0,0,0,0,0,0
9/27/2014,PHI @ DC,L 0-1,Unused Sub,0,0,0,0,0,0,0,0,0
9/20/2014,HOU @ PHI,T 0-0,Unused Sub,0,0,0,0,0,0,0,0,0
9/13/2014,NY @ PHI,T 2-2,Unused Sub,0,0,0,0,0,0,0,0,0
9/6/2014,PHI @ TOR,W 2-0,Unused Sub,0,0,0,0,0,0,0,0,0
9/3/2014,TOR @ PHI,W 0-1,Unused Sub,0,0,0,0,0,0,0,0,0
8/24/2014,SJ @ PHI,W 2-4,Unused Sub,0,0,0,0,0,0,0,0,0
8/15/2014,PHI @ HOU,L 0-2,Unused Sub,0,0,0,0,0,0,0,0,0
8/9/2014,MTL @ PHI,W 1-2,Unused Sub,0,0,0,0,0,0,0,0,0
8/1/2014,PHI @ KC,T 1-1,Unused Sub,0,0,0,0,0,0,0,0,0
7/19/2014,PHI @ CHI,T 1-1,Unused Sub,0,0,0,0,0,0,0,0,0
7/16/2014,NY @ PHI,W 1-3,Unused Sub,0,0,0,0,0,0,0,0,0
7/12/2014,COL @ PHI,T 3-3,Unused Sub,0,0,0,0,0,0,0,0,0
7/4/2014,PHI @ DAL,L 1-2,Unused Sub,0,0,0,0,0,0,0,0,0
6/28/2014,PHI @ NE,W 3-1,Unused Sub,0,0,0,0,0,0,0,0,0
6/7/2014,VAN @ PHI,T 3-3,Started,45,0,0,0,0,0,0,0,0
5/31/2014,PHI @ CHV,W 3-0,Subbed On,4,0,0,1,1,0,0,0,0
5/25/2014,PHI @ LA,L 1-4,Subbed On,15,0,0,0,0,1,2,0,0
5/17/2014,NE @ PHI,L 5-3,Subbed On,17,0,0,0,0,2,0,0,0
5/14/2014,PHI @ KC,W 2-1,Unused Sub,0,0,0,0,0,0,0,0,0
5/10/2014,DC @ PHI,L 1-0,Unused Sub,0,0,0,0,0,0,0,0,0
5/3/2014,PHI @ SEA,L 1-2,Unused Sub,0,0,0,0,0,0,0,0,0
4/26/2014,PHI @ MTL,L 0-1,Unused Sub,0,0,0,0,0,0,0,0,0
4/19/2014,HOU @ PHI,T 0-0,Unused Sub,0,0,0,0,0,0,0,0,0
4/16/2014,PHI @ NY,L 1-2,Unused Sub,0,0,0,0,0,0,0,0,0
4/12/2014,RSL @ PHI,T 2-2,Unused Sub,0,0,0,0,0,0,0,0,0
4/5/2014,PHI @ CHI,T 2-2,Unused Sub,0,0,0,0,0,0,0,0,0
3/29/2014,MTL @ PHI,T 1-1,Unused Sub,0,0,0,0,0,0,0,0,0
3/22/2014,PHI @ CLB,L 1-2,Unused Sub,0,0,0,0,0,0,0,0,0
3/15/2014,NE @ PHI,W 0-1,Unused Sub,0,0,0,0,0,0,0,0,0
3/8/2014,PHI @ POR,T 1-1,Unused Sub,0,0,0,0,0,0,0,0,0
10/26/2013,KC @ PHI,L 2-1,Unused Sub,0,0,0,0,0,0,0,0,0
10/19/2013,PHI @ MTL,L 1-2,Unused Sub,0,0,0,0,0,0,0,0,0
10/12/2013,PHI @ DC,T 1-1,Unused Sub,0,0,0,0,0,0,0,0,0
10/5/2013,TOR @ PHI,W 0-1,Unused Sub,0,0,0,0,0,0,0,0,0
9/27/2013,PHI @ KC,W 1-0,Unused Sub,0,0,0,0,0,0,0,0,0
