BLK%,G,Age,eFG%,Rk
0.0,65,27-331, ,65
6.9,69,27-339,.833,69
5.4,30,27-240,.200,30
0.0,59,27-310, ,59
0.0,61,27-319, ,61
7.1,64,27-329,.333,64
9.2,10,27-198,.333,10
0.0,7,27-191,.750,7
0.0,43,27-265,1.000,43
18.8,21,27-221,.000,21
0.0,19,27-217,.800,19
0.0,27,27-234,.571,27
0.0,56,27-296,.750,56
14.1,20,27-219,.000,20
0.0,62,27-325,.500,62
12.1,34,27-247,.500,34
5.3,35,27-248,.333,35
2.6,3,27-184,.500,3
8.2,16,27-212,.600,16
8.4,33,27-245,.500,33
16.9,47,27-272,.667,47
8.4,51,27-281,.500,51
0.0,37,27-254,1.000,37
11.3,26,27-230,.600,26
0.0,71,27-343,1.000,71
5.7,22,27-223,.750,22
18.3,11,27-200,.143,11
0.0,40,27-258,.600,40
3.6,52,27-288,.000,52
0.0,67,27-335,.750,67
13.1,42,27-262,.400,42
0.0,54,27-291,.000,54
8.2,4,27-186,.375,4
0.0,68,27-336,.400,68
3.7,49,27-275,.500,49
10.5,32,27-243,.833,32
