Date,Opponent,Score,w,l,sv,ip,h,r,er,era,bb,k,hr
Feb 7,vs. La.-Monroe,"L, 9-6",0,0,0,0.0,-,-,-,0.00,-,-,-
Feb 8,vs. Notre Dame,"L, 9-1",0,0,0,0.0,-,-,-,0.00,-,-,-
Feb 8,vs. North Dakota St.,"L, 13-0",0,0,0,0.0,-,-,-,0.00,-,-,-
Feb 9,at Auburn,"L, 8-4",0,0,0,0.0,-,-,-,0.00,-,-,-
Feb 9,vs. La.-Monroe,"L, 7-0",0,0,0,0.0,-,-,-,0.00,-,-,-
Feb 15,vs. Southeastern Louisiana, ,-,-,-,-,-,-,-,-,-,-,-
Feb 15,at Kennesaw State,"L, 5-3",0,0,0,0.0,-,-,-,0.00,-,-,-
Feb 15,at Kennesaw State,"L, 4-3",0,0,0,0.0,-,-,-,0.00,-,-,-
Feb 15,vs. Northern Kentucky, ,-,-,-,-,-,-,-,-,-,-,-
Feb 16,vs. Akron, ,-,-,-,-,-,-,-,-,-,-,-
Feb 16,at Kennesaw State,"W, 9-3",0,0,0,0.0,-,-,-,0.00,-,-,-
Feb 21,vs. Toledo,"W, 5-3",0,0,0,0.0,-,-,-,0.00,-,-,-
Feb 21,vs. Ohio,"W, 6-5",0,0,0,0.0,-,-,-,0.00,-,-,-
Feb 22,vs. Campbell,"W, 6-5",0,0,0,0.0,-,-,-,0.00,-,-,-
Feb 22,vs. Northwestern St.,"L, 9-0",0,0,0,0.0,-,-,-,0.00,-,-,-
Feb 23,vs. Radford,"W, 1-0",0,0,0,0.0,-,-,-,0.00,-,-,-
Mar 1,at East Caro.,"L, 7-1",0,0,0,0.0,-,-,-,0.00,-,-,-
Mar 1,at East Caro.,"L, 4-3",0,0,0,0.0,-,-,-,0.00,-,-,-
Mar 2,at East Caro.,"L, 4-0",0,0,0,0.0,-,-,-,0.00,-,-,-
Mar 5,Holy Cross,"W, 8-7",0,0,0,0.0,-,-,-,0.00,-,-,-
Mar 5,Holy Cross,"W, 8-0",0,0,0,0.0,-,-,-,0.00,-,-,-
Mar 7,vs. Purdue,"L, 4-2",0,0,0,0.0,-,-,-,0.00,-,-,-
Mar 7,vs. No. 19 Georgia,"L, 3-1",0,0,0,0.0,-,-,-,0.00,-,-,-
Mar 8,vs. Purdue,"L, 1-0",0,0,0,0.0,-,-,-,0.00,-,-,-
Mar 8,vs. Kent St.,"L, 1-0",0,0,0,0.0,-,-,-,0.00,-,-,-
Mar 9,vs. Kent St.,"W, 5-2",0,0,0,0.0,-,-,-,0.00,-,-,-
Mar 11,Lipscomb,"L, 6-1",0,0,0,0.0,-,-,-,0.00,-,-,-
Mar 11,Lipscomb,"L, 6-3",0,0,0,0.0,-,-,-,0.00,-,-,-
Mar 12,Western Ky.,"L, 6-1",0,0,0,0.0,-,-,-,0.00,-,-,-
Mar 15,at Jacksonville State,"L, 9-0",0,0,0,0.0,-,-,-,0.00,-,-,-
Mar 15,at Jacksonville State,"L, 17-4",0,0,0,0.0,-,-,-,0.00,-,-,-
Mar 16,at Jacksonville State,"L, 5-3",0,0,0,0.0,-,-,-,0.00,-,-,-
Mar 22,SIUE,"L, 8-2",0,0,0,0.0,-,-,-,0.00,-,-,-
Mar 22,SIUE,"L, 1-0",0,0,0,0.0,-,-,-,0.00,-,-,-
Mar 23,Eastern Illinois,"L, 5-4",0,0,0,0.0,-,-,-,0.00,-,-,-
Mar 23,Eastern Illinois,"W, 10-2",0,0,0,0.0,-,-,-,0.00,-,-,-
Mar 29,at Belmont,"L, 4-3",0,0,0,0.0,-,-,-,0.00,-,-,-
Mar 30,at Belmont,"W, 6-3",0,0,0,0.0,-,-,-,0.00,-,-,-
Mar 30,at Belmont,"L, 10-2",0,0,0,0.0,-,-,-,0.00,-,-,-
Apr 2,at Chattanooga,"L, 12-1",0,0,0,0.0,-,-,-,0.00,-,-,-
Apr 2,at Chattanooga,"L, 3-1",0,0,0,0.0,-,-,-,0.00,-,-,-
Apr 5,at Murray State,"L, 5-4",0,0,0,0.0,-,-,-,0.00,-,-,-
Apr 5,at Murray State,"W, 9-3",0,0,0,0.0,-,-,-,0.00,-,-,-
Apr 6,at Austin Peay,"W, 7-0",0,0,0,0.0,-,-,-,0.00,-,-,-
Apr 6,at Austin Peay,"L, 6-3",0,0,0,0.0,-,-,-,0.00,-,-,-
Apr 8,at Tennessee,"L, 13-5",0,0,0,0.0,-,-,-,0.00,-,-,-
Apr 12,Tennessee State,"W, 7-0",0,0,0,0.0,-,-,-,0.00,-,-,-
Apr 12,Tennessee State,"W, 8-1",0,0,0,0.0,-,-,-,0.00,-,-,-
Apr 13,Tennessee State,"W, 8-1",0,0,0,0.0,-,-,-,0.00,-,-,-
Apr 18,at UT Martin,"W, 6-2",0,0,0,0.0,-,-,-,0.00,-,-,-
Apr 18,at UT Martin,"L, 3-1",0,0,0,0.0,-,-,-,0.00,-,-,-
Apr 19,at Southeast Missouri,"W, 3-0",0,0,0,0.0,-,-,-,0.00,-,-,-
Apr 19,at Southeast Missouri,"W, 5-3",0,0,0,0.0,-,-,-,0.00,-,-,-
Apr 26,Eastern Kentucky,"L, 2-0",0,0,0,0.0,-,-,-,0.00,-,-,-
Apr 26,Eastern Kentucky,"W, 9-1",0,0,0,0.0,-,-,-,0.00,-,-,-
Apr 27,Eastern Kentucky,"W, 3-2",0,0,0,0.0,-,-,-,0.00,-,-,-
May 3,Morehead State,"W, 5-3",0,0,0,0.0,-,-,-,0.00,-,-,-
May 3,Morehead State,"W, 4-0",0,0,0,0.0,-,-,-,0.00,-,-,-
May 4,Morehead State,"W, 14-7",0,0,0,0.0,-,-,-,0.00,-,-,-
May 7,vs. SIUE,"L, 1-0",0,0,0,0.0,-,-,-,0.00,-,-,-
May 8,vs. UT Martin,"W, 5-3",0,0,0,0.0,-,-,-,0.00,-,-,-
May 9,vs. Jacksonville State,"W, 6-3",0,0,0,0.0,-,-,-,0.00,-,-,-
