3B,AB,GIDP,2B,Team,SH,SF
0,54,1,3,AGS,0,1
0,136,1,7,TIG,4,1
0,18,0,1,AGS,0,0
0,4,0,0,TAB,0,0
2,404,10,33,LAG,1,6
1,326,10,15,TIG,6,2
1,106,1,4,MVA,2,0
3,362,13,22,CAM,9,2
0,4,0,0,MIN,0,0
2,220,2,9,MIN,5,1
0,3,0,0,MEX,0,0
0,4,0,0,LAG,2,0
0,127,5,7,VER,0,1
1,252,8,17,MIN,8,0
1,279,7,18,VER,3,4
0,223,6,19,OAX,4,2
0,289,9,17,MTY,0,2
0,188,2,10,MIN,5,3
1,164,4,9,TAB,4,0
0,79,0,6,TIG,1,0
1,422,10,24,MEX,1,5
1,235,4,9,MTY,6,2
0,25,1,0,AGS,0,0
1,46,0,1,MEX,2,0
0,12,0,0,MIN,0,0
3,355,4,18,TIG,8,1
0,1,0,0,CDC,0,0
0,176,8,4,CDC,5,1
0,108,5,7,MVA,0,1
0,33,1,1,MTY,1,0
4,367,9,18,PUE,9,2
1,28,1,0,PUE,0,0
3,357,23,25,PUE,2,10
1,188,3,8,MTY,6,1
2,200,2,6,CAM,7,0
0,149,8,3,TIG,2,0
0,179,3,15,PUE,2,1
0,166,5,8,MTY,4,3
0,55,0,5,TAB,1,1
0,347,6,9,MTY,2,2
1,313,11,14,TAB,12,1
1,25,1,0,TAB,2,0
0,24,1,0,CDC,0,0
1,437,12,31,OAX,14,4
1,45,0,1,VER,0,0
0,156,5,9,MVA,3,1
1,302,8,21,CAM,4,6
0,111,4,4,CAM,4,0
1,215,7,8,PUE,3,1
3,388,7,29,AGS,4,3
0,30,2,2,CAM,0,0
7,427,8,18,CDC,13,4
0,223,10,10,CDC,10,2
1,273,4,14,MEX,1,3
0,2,0,1,REY,0,0
0,0,0,0,MEX,0,0
0,152,5,10,MEX,1,1
0,344,7,12,YUC,1,5
1,188,1,6,SAL,11,2
1,231,7,5,REY,0,1
1,242,13,15,CAM,4,1
2,274,6,10,LAG,15,0
0,300,7,11,TIG,0,3
0,69,1,4,MEX,2,1
0,28,1,0,MVA,0,0
0,131,5,8,OAX,0,0
3,320,4,20,TIG,1,2
0,156,10,2,CAM,1,0
4,332,3,18,MIN,9,3
0,340,9,24,SAL,0,6
0,391,10,23,YUC,10,1
4,235,3,11,MTY,2,3
1,356,13,19,CDC,4,1
0,31,0,0,CAM,0,0
0,2,0,0,MTY,0,0
0,366,17,14,MVA,6,1
3,282,6,15,SAL,18,3
2,351,10,27,PUE,7,7
0,33,1,1,MVA,0,0
0,3,0,0,AGS,0,0
5,315,7,17,OAX,8,0
0,394,12,14,SAL,4,2
0,391,12,17,TAB,9,4
3,385,12,17,MIN,9,4
2,421,15,20,SAL,3,4
0,266,16,18,MVA,0,4
1,373,9,22,OAX,24,5
1,140,4,3,CAM,6,0
0,207,4,10,AGS,2,0
1,150,7,13,SAL,6,3
0,0,0,0,VER,0,0
2,383,5,25,CDC,0,5
0,27,4,1,AGS,0,0
0,420,15,27,TAB,1,7
0,99,1,1,VER,2,0
0,13,0,1,YUC,0,0
0,105,1,3,MEX,1,1
1,319,11,17,MIN,4,3
0,181,5,11,AGS,0,1
2,297,6,11,PUE,6,3
3,351,4,8,MTY,17,4
0,25,0,0,CAM,0,0
0,116,3,8,SAL,1,1
0,16,0,0,PUE,0,0
2,379,13,26,YUC,3,4
2,250,4,10,LAG,7,1
0,2,0,0,MVA,0,0
0,17,1,0,MVA,0,0
4,340,9,17,PUE,10,7
0,34,0,1,MEX,1,0
3,178,2,5,YUC,3,0
7,444,13,18,REY,7,0
0,296,9,16,AGS,1,2
1,277,6,15,REY,8,1
0,223,8,16,LAG,3,0
0,236,9,11,SAL,1,2
0,96,3,5,MVA,0,0
0,0,0,0,TIG,0,0
0,115,2,5,VER,0,0
0,0,0,0,YUC,0,0
0,0,0,0,MEX,0,0
2,162,4,1,REY,4,0
1,53,1,2,REY,0,1
0,0,0,0,LAG,0,0
9,386,7,21,MIN,1,4
0,42,2,3,PUE,0,1
1,297,10,14,YUC,1,1
0,4,0,0,TAB,0,0
1,33,0,1,MIN,1,0
0,216,5,19,MTY,5,2
0,167,6,5,CAM,1,1
0,4,0,0,YUC,0,0
0,271,6,13,OAX,9,2
0,0,0,0,MEX,0,0
0,48,1,3,MIN,0,1
0,125,5,7,CAM,0,0
0,134,2,12,TAB,1,0
0,106,6,3,AGS,1,2
0,60,0,0,TAB,3,1
2,87,0,1,YUC,6,1
0,200,6,9,YUC,1,6
0,133,6,6,CAM,1,1
0,55,0,5,TIG,0,0
0,1,0,0,CDC,0,0
0,39,1,0,LAG,1,0
0,31,1,2,PUE,1,0
0,189,4,14,YUC,4,3
0,301,7,17,MVA,0,1
0,2,0,0,CDC,0,0
0,250,11,23,MEX,4,3
9,335,3,19,MEX,5,2
0,189,3,8,CAM,0,2
0,224,11,10,TAB,10,1
0,116,1,5,MTY,1,0
12,456,11,24,LAG,2,5
2,187,6,8,YUC,8,1
0,44,1,3,CAM,3,0
1,243,9,9,OAX,0,2
4,420,24,29,PUE,0,7
1,28,0,1,REY,0,1
0,213,9,16,TIG,4,1
0,393,11,34,OAX,0,4
0,84,1,3,REY,0,0
2,345,15,14,MIN,5,2
0,45,5,0,AGS,0,0
0,15,0,1,CAM,1,0
1,260,8,10,VER,4,1
