G,HR,CS,H,POS,Team,R,2B,SB
16,0,0,10,1B,WIL,4,3,1
134,5,9,151,OF,CAR,71,29,18
81,11,4,71,LF,SAL,44,24,10
72,4,4,71,OF,MB,33,17,5
10,1,3,6,OF,FRE,6,0,2
123,5,1,125,SS,LYN,57,30,7
2,1,0,2,LF,POT,2,1,0
87,3,4,82,RF,WS,50,25,10
127,6,8,140,LF,POT,81,20,13
12,1,0,8,C,CAR,4,2,0
63,5,7,75,3B,SAL,44,19,15
32,1,5,25,OF,SAL,21,2,17
122,8,2,112,3B,MB,62,26,10
60,2,2,63,3B,WIL,32,21,1
120,11,5,101,2B,FRE,66,21,8
3,0,0,2,C,MB,4,0,0
11,1,1,7,3B,POT,5,0,2
112,4,9,74,OF,MB,52,18,19
43,0,2,31,3B,CAR,10,4,3
16,0,3,7,3B,LYN,5,3,0
1,0,0,0,P,SAL,0,0,0
60,2,1,40,2B,CAR,15,8,1
34,0,4,32,OF,CAR,16,11,3
84,4,1,94,1B,WS,43,27,4
91,0,5,103,CF,POT,70,8,54
120,11,2,109,3B,WS,70,35,2
98,3,4,79,1B,MB,38,14,10
131,5,14,132,CF,LYN,76,29,37
29,0,1,25,SS,MB,6,5,3
85,2,2,85,SS,SAL,50,20,21
1,0,0,0,P,POT,0,0,0
4,0,1,3,RF,POT,1,0,0
40,1,1,27,OF,WIL,16,2,2
119,10,2,107,3B,WS,58,24,3
39,0,2,44,OF,WIL,18,10,3
3,0,0,0,RF,SAL,0,0,0
23,0,4,19,SS,CAR,6,2,1
45,1,2,44,2B,FRE,17,8,5
1,0,0,0,1B,POT,0,0,0
132,12,16,113,3B,LYN,75,28,8
80,3,6,80,C,CAR,36,13,3
24,0,5,20,SS,WIL,6,3,4
97,2,7,85,CF,FRE,42,17,19
1,0,0,0,P,LYN,0,0,0
26,0,1,25,2B,LYN,10,1,3
17,2,0,15,C,SAL,10,2,0
1,0,1,0,OF,LYN,0,0,0
19,0,0,11,3B,SAL,6,2,1
110,11,2,111,C,POT,68,29,4
100,5,8,115,2B,MB,65,33,27
128,10,9,125,2B,WIL,67,25,25
15,1,0,12,DH,WIL,6,4,0
103,19,5,68,CF,WS,48,16,10
54,0,0,40,OF,SAL,17,5,6
1,0,0,0,P,FRE,0,0,0
53,2,0,44,C,CAR,21,12,0
41,5,6,33,OF,FRE,26,4,10
65,7,0,64,1B,SAL,30,12,6
10,0,0,5,LF,CAR,1,2,1
121,3,2,113,1B,CAR,43,23,0
12,0,1,5,LF,FRE,4,1,0
84,8,2,59,RF,FRE,37,14,7
62,3,2,48,1B,SAL,25,11,2
87,7,6,89,RF,WIL,56,23,23
97,1,2,59,SS,SAL,43,16,11
34,0,3,19,2B,SAL,2,3,2
29,6,0,27,1B,SAL,12,2,2
89,12,0,71,C,MB,37,10,0
6,0,1,3,OF,WIL,0,0,0
97,1,8,114,SS,MB,69,15,27
74,5,3,60,RF,POT,33,16,12
38,3,0,26,1B,MB,18,5,2
117,3,4,76,OF,MB,59,22,8
136,24,7,149,SS,WS,90,24,14
58,10,2,40,C,POT,24,6,1
39,2,4,33,LF,WIL,14,5,5
