BLK%,DRB%,GmSc,MP,GS,eFG%,G
0.0,21.9,12.2,29:00,0,.500,52
0.0,32.1,1.7,8:00,0,.250,49
0.0,0.0,-2.0,6:00,0,.000,35
0.0,56.5,-0.8,5:00,0, ,22
4.7,29.2,8.9,14:00,0,1.000,14
0.0,4.7,-0.7,20:00,0,.000,5
0.0,14.3,13.0,24:00,0,.800,73
5.4,22.3,6.7,30:00,0,.250,45
0.0,14.1,1.3,22:00,0,.400,3
0.0,17.0,3.3,24:00,0,.400,72
0.0,0.0,1.3,8:00,0,.500,18
0.0,6.3,-1.0,19:00,0,.000,34
3.0,27.5,3.6,19:00,0,.333,68
0.0,49.0,2.6,14:00,0,.333,41
0.0,25.4,3.0,18:00,0,.333,11
0.0,25.6,5.8,23:00,0,.333,64
0.0,10.4,-1.3,14:00,0, ,21
0.0,0.0,-0.4,12:00,0,.000,24
4.7,34.8,5.9,12:00,0,.400,38
0.0,15.8,4.1,19:00,0, ,16
0.0,0.0,0.6,12:00,0,.000,26
0.0,9.5,1.4,22:00,0,.500,69
0.0,37.4,7.2,27:00,0,.400,13
4.9,22.9,2.2,12:00,0,1.000,37
2.9,21.8,10.9,20:00,0,.667,50
0.0,27.0,5.0,13:00,0, ,27
0.0,32.7,0.0,12:00,0,.000,40
0.0,31.3,2.4,16:00,0,1.000,46
0.0,44.0,-1.4,13:00,0,.000,12
3.2,24.0,8.3,20:00,0,1.000,28
0.0,17.4,-2.9,19:00,0,.250,36
3.5,29.6,5.2,14:00,0,.667,66
0.0,9.2,-1.7,13:00,0, ,29
0.0,12.7,-0.5,6:00,0,.000,20
4.2,25.7,1.7,17:00,0,.333,70
2.9,8.9,2.8,21:00,0,.250,10
7.0,12.8,13.5,23:00,0,.750,61
0.0,9.3,3.3,14:00,0,1.000,17
0.0,48.2,5.8,34:00,0,.333,74
0.0,26.1,3.0,23:00,0,.000,71
0.0,25.7,13.0,17:00,0,.714,67
0.0,23.5,3.7,18:00,0,.500,42
0.0,13.6,6.2,20:00,0,1.000,31
2.0,16.8,5.3,26:00,0,.500,54
