Name,Country,sex,tour,sl,tr,ju,yob,class,round,date,place,site id,line/ramp,speed
 , , , , , , , , , , , , , , 
KALOUPIS Anastasios,GRE,M,09GRE16,49.5,0.0,0.0,1975.0,L,1.0,10/25/2009,5.0,GREKAIAF,1.50@12.000,58.0
 , , , , , , , , , , , , , , 
KALOUPIS Anastasios,GRE,M,09GRE16,47.5,0.0,0.0,1975.0,L,2.0,10/25/2009,5.0,GREKAIAF,5.50@13.000,58.0
 , , , , , , , , , , , , , , 
KALOUPIS Anastasios,GRE,M,09GRE14,47.0,0.0,0.0,1975.0,L,1.0,10/11/2009,6.0,GREALIAR,5.00@13.000,58.0
 , , , , , , , , , , , , , , 
KALOUPIS Anastasios,GRE,M,09GRE01,46.0,0.0,0.0,1975.0,L,2.0,07/12/2009,4.0,GREKAIAF,4.00@13.000,58.0
 , , , , , , , , , , , , , , 
KALOUPIS Anastasios,GRE,M,09GRE13,45.0,0.0,0.0,1975.0,L,2.0,10/04/2009,6.0,GREPOROS,3.00@13.000,58.0
 , , , , , , , , , , , , , , 
KALOUPIS Anastasios,GRE,M,09GRE13,40.5,0.0,0.0,1975.0,L,1.0,10/04/2009,6.0,GREPOROS,4.50@14.250,58.0
 , , , , , , , , , , , , , , 
KALOUPIS Anastasios,GRE,M,09GRE03,40.0,0.0,0.0,1975.0,L,1.0,07/26/2009,23.0,GREAGRIN,4.00@14.250,58.0
KALOUPIS Anastasios,GRE,M,09GRE11,0.0,0.0,0.0,1975.0,L,3.0,09/27/2009,5.0,GREPHELI,3.50@18.250,37.0
KALOUPIS Anastasios,GRE,M,09GRE11,0.0,0.0,0.0,1975.0,L,2.0,09/27/2009,5.0,GREPHELI,5.00@18.250,37.0
KALOUPIS Anastasios,GRE,M,09GRE11,0.0,0.0,0.0,1975.0,L,1.0,09/27/2009,5.0,GREPHELI,3.00@18.250,37.0
KALOUPIS Anastasios,GRE,M,09GRE13,0.0,0.0,0.0,1975.0,L,3.0,10/04/2009,6.0,GREPOROS,4.00@18.250,37.0
