Batter,Team,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,AVG,OBP,SLG,OPS
Mookie Betts,SalGre,352,81,119,31,3,12,56,31,2,62,46,0.338,0.436,0.545,0.982
Garin Cecchini,PorSal,327,61,105,22,6,6,47,16,7,77,58,0.321,0.451,0.48,0.931
Keury De La Cruz,Sal,430,57,116,33,4,9,76,14,6,24,99,0.27,0.306,0.428,0.734
Xander Bogaerts,PawPor,320,56,96,14,4,12,54,6,2,39,70,0.3,0.382,0.481,0.863
Henry Ramos,Sal,370,54,94,23,6,7,40,8,10,46,80,0.254,0.336,0.405,0.741
Jeremy Hazelbaker,Paw,307,50,88,11,2,9,44,31,6,28,91,0.287,0.343,0.423,0.767
Shannon Wilkerson,Por,332,50,79,14,6,2,28,22,11,37,70,0.238,0.32,0.334,0.654
Deven Marrero,PorSal,323,46,77,13,0,2,23,19,1,40,64,0.238,0.322,0.297,0.62
Aneury Tavarez,Gre,373,43,97,21,5,4,42,24,12,16,106,0.26,0.294,0.375,0.669
Cody Koback,SalGre,324,43,85,13,4,0,32,16,4,24,61,0.262,0.333,0.327,0.66
Jackie Bradley Jr.,Paw,219,42,61,18,1,10,27,6,4,27,55,0.279,0.369,0.507,0.876
Sean Coyle,3 Teams,196,42,46,8,0,15,32,11,2,23,64,0.235,0.316,0.505,0.821
Michael Almanzar,Por,354,42,93,22,2,9,54,8,1,28,78,0.263,0.321,0.412,0.733
J.C. Linares,PawPor,243,40,67,21,1,6,37,0,0,23,58,0.276,0.357,0.444,0.802
Tony Thomas,PawPor,327,39,75,22,7,7,50,15,2,30,94,0.229,0.302,0.404,0.706
Stefan Welch,Sal,214,38,66,16,0,8,38,2,2,36,54,0.308,0.421,0.495,0.916
Mark Hamilton,PawGCL,222,38,60,18,0,8,39,1,0,40,58,0.27,0.382,0.459,0.841
Brandon Jacobs,PorSal,246,38,65,21,0,10,36,8,3,22,73,0.264,0.337,0.472,0.809
Luis Alexander Basabe,DSL,167,38,35,8,2,0,15,14,4,37,45,0.21,0.37,0.281,0.651
Drew Sutton,Paw,243,38,53,11,1,2,36,4,1,42,52,0.218,0.331,0.296,0.627
Travis Shaw,Por,309,37,67,16,3,10,24,7,2,53,77,0.217,0.334,0.385,0.719
David Chester,SalGre,318,36,88,23,0,13,72,3,0,37,78,0.277,0.357,0.472,0.829
Jose Vinicio,Gre,293,36,62,10,4,1,21,18,6,10,84,0.212,0.247,0.283,0.53
Blake Swihart,Sal,297,33,83,21,5,2,27,5,6,34,53,0.279,0.352,0.404,0.756
Nick Natoli,3 Teams,268,33,57,14,1,1,24,10,2,37,69,0.213,0.317,0.284,0.601
