FT%,OFF,Min,GP,GS,PF,Reb,3FGA,3P%,3FGM
.333,0.1,4.5,8,0,1.2,0.8,0.0,.000,0.0
.600,1.4,14.6,5,0,2.4,4.0,0.0,.000,0.0
.667,0.1,4.0,11,0,0.9,0.5,0.0,.000,0.0
.600,1.4,14.6,5,0,2.4,4.0,0.0,.000,0.0
.900,0.3,5.0,12,0,0.8,0.9,0.0,.000,0.0
.700,1.1,10.1,10,0,1.6,2.7,0.0,.000,0.0
.750,1.0,9.5,12,0,1.6,2.4,0.0,.000,0.0
.000,0.0,4.8,1,0,0.0,2.0,0.0,.000,0.0
1.000,0.8,5.5,9,0,1.1,1.4,0.0,.000,0.0
.818,0.7,8.9,11,0,1.4,2.1,0.0,.000,0.0
1.000,0.3,4.0,7,0,1.1,0.6,0.0,.000,0.0
.600,2.0,20.2,3,0,3.7,5.3,0.0,.000,0.0
.714,1.0,11.8,7,0,1.9,3.1,0.0,.000,0.0
.786,1.0,8.1,14,0,1.4,2.3,0.0,.000,0.0
.833,0.4,4.7,20,0,1.0,0.9,0.0,.000,0.0
.800,0.1,4.6,7,0,0.9,0.9,0.0,.000,0.0
.750,1.1,10.3,10,0,1.7,2.8,0.0,.000,0.0
1.000,1.3,7.0,3,0,1.3,2.0,0.0,.000,0.0
.333,0.1,3.2,7,0,1.0,0.6,0.0,.000,0.0
.714,1.0,11.8,7,0,1.9,3.1,0.0,.000,0.0
.500,0.5,4.2,8,0,1.4,0.9,0.0,.000,0.0
.000,0.5,5.0,2,0,1.0,1.0,0.0,.000,0.0
-,-,-,-,-,-,-,-,-,-
.857,0.2,4.1,15,0,0.9,0.7,0.0,.000,0.0
.889,0.8,5.4,9,0,1.1,1.3,0.0,.000,0.0
