R,OBP,POS,BB,SO,SF,RBI,SB
19,.325,OF,11,40,0,14,4
26,.369,1B,23,29,4,30,4
20,.336,1B,26,50,5,28,2
2,.321,C,6,3,1,6,0
18,.325,SS,15,27,1,14,2
1,.000,C,0,2,0,0,0
15,.333,OF,11,31,0,13,4
13,.333,C,24,25,6,24,0
5,.324,OF,4,6,0,4,1
26,.306,OF,31,69,4,24,7
10,.281,C,6,38,1,12,2
35,.348,SS,27,45,4,27,2
1,.375,OF,1,4,0,2,0
0,.059,C,1,4,0,0,0
19,.308,OF,17,52,1,14,0
20,.357,OF,24,40,1,14,7
40,.342,OF,24,69,0,20,22
45,.418,1B,32,44,2,46,5
1,.286,C,1,0,0,0,0
7,.250,C,3,30,0,13,0
17,.298,OF,10,41,1,21,1
3,.237,C,2,3,0,2,0
15,.263,OF,10,33,2,17,1
41,.339,C,23,46,1,35,4
25,.336,SS,43,64,2,22,17
8,.348,C,2,10,0,9,0
5,.239,2B,3,7,0,1,0
4,.266,C,4,26,0,4,0
10,.310,C,10,19,1,5,0
28,.331,3B,22,42,2,25,5
3,.300,CF,4,9,1,7,1
40,.375,SS,23,70,1,30,8
21,.291,2B,13,45,1,9,3
1,.194,C,2,7,0,1,0
0,.133,OF,0,4,0,0,0
0,.357,OF,1,4,0,0,0
20,.276,3B,13,53,4,27,5
11,.347,C,5,17,0,6,0
36,.303,OF,21,77,2,28,11
15,.276,SS,10,23,0,16,0
2,.158,2B,0,7,1,2,1
1,.333,OF,1,2,0,2,0
30,.320,SS,15,63,4,31,3
38,.311,2B,29,39,0,22,3
26,.289,OF,7,44,1,20,1
18,.290,SS,13,36,0,12,3
38,.426,3B,46,31,5,22,9
3,.250,C,0,10,0,2,0
24,.322,SS,23,39,1,16,9
16,.302,C,21,20,4,32,2
36,.343,OF,21,48,2,20,2
0,.000,P,0,0,0,0,0
29,.424,1B,56,56,1,21,0
15,.275,SS,8,54,0,10,7
6,.302,OF,11,17,0,8,4
22,.313,C,18,46,1,18,1
10,.333,1B,7,18,0,7,0
22,.360,C,21,35,3,21,4
32,.307,OF,18,55,0,21,18
18,.371,OF,15,26,0,14,7
19,.465,3B,7,12,2,26,0
