AVG,H,Player,SO,AB,POS,3B
.305,47,A Santander,37,154,LF,1
.382,63,P Hoenecke,22,165,3B,4
.296,8,J Decker,3,27,OF,2
.347,26,A Almora,8,75,OF,1
.250,1,J Chaplin,1,4,1B,0
.467,7,R Lopez,4,15,C,1
.269,14,A Renteria,20,52,DH,1
.389,14,T Taylor,3,36,OF,3
.240,41,I Yates,49,171,CF,6
.353,48,B Carhart,14,136,3B,1
.417,5,J Andrade,1,12,C,0
.000,0,J Cruz,2,4,OF,0
.280,7,A Cowen,7,25,C,0
.412,14,E Sarmiento,5,34,C,1
.257,18,F Filpo,19,70,LF,1
.209,19,S Jarrin,24,91,2B,1
.483,29,T Ogle,12,60,C,0
.242,43,A Ortega,24,178,SS,2
.381,40,M Mercedes,15,105,2B,1
.133,13,R Bolden,40,98,RF,1
.273,15,F Perez,17,55,3B,1
.217,20,J Williams,36,92,1B,1
.306,34,H Powell,9,111,CF,0
.194,13,F Vivili,17,67,C,1
.276,43,H Charles,26,156,LF,2
.200,10,C Kreuter,21,50,1B,1
.257,19,A Ford,13,74,SS,2
.208,5,W Rivas,7,24,C,0
.100,1,W Petit,2,10,C,0
.313,63,N Williams,50,201,LF,6
.135,5,M Pericht,19,37,C,1
.208,10,A Edge,15,48,C,0
.167,5,R Crawford,9,30,OF,0
.385,5,R Poythress,3,13,1B,0
.355,61,D Paulino,31,172,SS,6
.188,13,M Walding,23,69,1B,1
.295,26,N Cuevas,9,88,OF,1
.255,14,D Mejia,16,55,C,1
.220,13,J Garcia,17,59,LF,1
.297,35,A Rachal,24,118,2B,4
.333,25,G Guerrero,13,75,RF,0
.229,25,N Rodriguez,41,109,1B,3
.250,9,C Lin,16,36,RF,0
--,0,R White,0,0,P,0
.289,28,L Baez,20,97,RF,2
.284,52,J Sermo,41,183,2B,4
.274,23,J Bianco,26,84,CF,2
.129,4,C Diaz,11,31,RF,0
.268,42,T Booth,40,157,CF,2
.284,21,C Ross,11,74,3B,2
.214,3,Z Livingston,2,14,C,0
.231,6,C Escobar,12,26,C,0
.240,6,J Kelly,11,25,SS,0
.303,36,A Escalera-Maldonado,29,119,CF,2
.218,17,D Lyon,18,78,C,1
.260,45,J Munoz,53,173,SS,2
.301,43,B Boyd,36,143,CF,4
.261,43,K Eaves,34,165,2B,5
.273,3,Z Jones,2,11,1B,0
--,0,A Roy,0,0,P,0
.289,26,R Honeycutt,9,90,DH,0
.283,32,P Gonzalez,19,113,C,2
.220,18,J Scavuzzo,27,82,CF,1
.247,45,R Ortiz,47,182,CF,4
.400,2,T Oeltjen,0,5,LF,0
.180,11,R Linares,19,61,2B,2
.241,13,J Soler,13,54,RF,0
.273,50,C Penalver,31,183,SS,1
.264,53,N Mazara,70,201,RF,3
.364,8,A Colon,7,22,LF,2
.268,37,M Dowell,37,138,LF,1
.462,6,M Pina,2,13,C,0
.157,8,J Morillo,3,51,C,0
.000,0,G Benusa,1,7,OF,0
.182,2,M Richard,1,11,LF,0
.176,12,B Amaral,24,68,DH,1
.078,6,J Leal,44,77,RF,0
.325,38,A Matthews,24,117,RF,2
.248,28,M Brito,27,113,2B,1
.318,7,T Auer,4,22,OF,0
.282,29,M Soto,25,103,1B,2
.291,44,G Quintana,37,151,3B,2
.242,32,Q Davis,40,132,LF,1
--,0,J Torres,0,0,P,0
.643,9,D Lutz,4,14,1B,2
.218,24,R Dalton,28,110,3B,0
.524,11,B Maxwell,3,21,C,0
.227,5,M Hillsinger,4,22,LF,1
.100,2,A Guzman,14,20,DH,0
.000,0,B Kjeldgaard,1,4,OF,0
.139,5,B Garcia,10,36,DH,0
.250,2,D Jones,0,8,C,0
.347,66,J Martinez,44,190,2B,3
.235,4,H Rodriguez,2,17,2B,0
.000,0,M Tissenbaum,0,2,2B,0
.267,4,A Gutierrez,1,15,C,0
.306,26,R Daal,15,85,C,3
.188,9,A Hudak,19,48,OF,0
.232,19,L Villegas,15,82,C,1
.235,27,Y Balaguert,27,115,LF,2
.252,30,G Schlecht,32,119,RF,1
.291,32,S Houck,21,110,3B,2
.256,40,H Mercedes,49,156,RF,4
.293,53,L Tejada,40,181,1B,3
.231,3,D Stiner,5,13,C,0
.260,50,J Rondon,24,192,SS,2
.368,7,K Davis,7,19,LF,0
.283,67,L Brinson,74,237,CF,7
.417,5,R Bueno,0,12,2B,1
.364,8,C Colon,0,22,SS,0
.254,15,Z Babitt,6,59,2B,0
.301,34,T Hollick,27,113,CF,2
--,0,C Weiss,0,0,P,0
.273,9,R Duran,8,33,C,0
.319,37,C Carmichael,20,116,C,2
.232,13,W Bernard,14,56,RF,0
.243,9,C Lewis,10,37,3B,0
.200,23,J Chigbogu,50,115,DH,0
.227,25,J Whitley,31,110,1B,1
.238,5,J Morban,3,21,OF,0
.400,30,R Mateo,18,75,C,2
.319,29,G Cornier,26,91,C,1
.214,3,F Oguisten,6,14,SS,0
.253,23,B Franco,34,91,3B,0
.250,15,R Mathews,10,60,LF,2
.227,25,J Lopez,27,110,1B,0
.273,6,S Kim,6,22,C,0
.071,1,B Lopez,9,14,C,0
.282,29,E Haase,29,103,C,2
.239,16,K Werman,13,67,2B,0
.230,31,V De La Cruz,43,135,RF,3
.240,6,E Barnett,13,25,LF,0
.229,11,C Wolfe,11,48,SS,0
.260,32,C Johnson,34,123,C,1
.214,9,N Rosario,11,42,C,0
--,0,D Mata,0,0,P,0
.206,7,V De Jesus,13,34,LF,0
.192,37,T Rahier,43,193,3B,1
.143,3,H Martinez,3,21,SS,0
.281,47,S Trahan,48,167,C,3
.282,46,J Jones,54,163,1B,1
.083,1,R Kieschnick,5,12,RF,0
.246,14,J Gomez,11,57,C,1
.143,1,D Carroll,2,7,3B,1
.176,3,M Williamson,5,17,RF,0
.300,36,J Polonius,19,120,SS,4
.243,9,J Kennelly,11,37,C,0
.243,45,J Sneed,32,185,CF,1
.286,18,F Contreras,12,63,2B,0
.000,0,J McDonald,1,8,SS,0
.150,3,J Martinez,10,20,3B,0
.301,34,P Pohl,22,113,C,2
.262,33,E Rivera,36,126,CF,0
.157,8,A Mineo,14,51,C,0
--,0,S Ronnenbergh,0,0,P,0
.258,31,D Hinojosa,39,120,RF,1
