hbp,Date,bb,r
3,"Mar 31, 2012",6,8
0,"Feb 17, 2012",1,2
0,"Feb 24, 2012",5,3
2,"Mar 09, 2012",5,3
0,"Mar 09, 2012",1,1
0,"Apr 29, 2012",6,3
2,"Apr 22, 2012",5,3
0,"Apr 18, 2012",5,4
0,"Apr 11, 2012",5,2
0,"May 05, 2012",1,5
0,"Mar 10, 2012",3,5
0,"Mar 31, 2012",9,13
0,"Mar 02, 2012",9,9
1,"Apr 01, 2012",6,4
0,"Mar 23, 2012",4,0
1,"Mar 11, 2012",4,1
1,"Feb 11, 2012",0,2
2,"Mar 17, 2012",7,10
0,3/24/12,4,3
0,"Apr 28, 2012",3,3
1,"May 05, 2012",1,5
0,"Apr 11, 2012",0,7
2,"Feb 19, 2012",6,12
0,"Mar 02, 2012",3,3
2,3/25/12,9,14
