TRB%,ORtg,BLK%,AST%,Age,MP,DRB%,TOV%,eFG%
0.0,77,0.0,19.4,25-273,24:00,0.0,33.7,.429
4.7,115,0.0,22.3,25-267,26:00,10.5,18.6,.429
0.0,200,0.0,0.0,25-323,3:00,0.0,0.0,1.000
4.4,105,0.0,62.5,25-357,12:00,8.0,43.6,.667
4.1,78,0.0,18.2,25-253,24:00,4.0,28.2,.375
0.0,76,0.0,0.0,26-020,8:00,0.0,34.0,.333
12.5,84,0.0,30.4,25-287,24:00,12.5,18.4,.125
4.5,103,1.5,47.1,25-249,38:00,5.5,22.1,.467
6.3,102,0.0,0.0,25-284,11:00,0.0,16.7,.600
0.0,47,0.0,37.2,25-364,3:00,0.0,100.0, 
6.3,94,0.0,47.1,25-255,22:00,12.5,29.1,.500
8.2,81,0.0,17.7,25-278,25:00,10.1,21.8,.462
20.3,200,0.0,0.0,26-017,3:00,37.2,0.0,1.000
8.5,104,0.0,37.0,26-042,26:00,4.5,16.4,.429
3.0,101,0.0,15.7,25-251,30:00,0.0,23.6,.444
0.0,210,0.0,96.0,25-338,1:00,0.0, , 
3.0,83,0.0,20.8,25-291,19:00,0.0,0.0,.167
2.0,114,0.0,22.0,25-356,27:00,4.6,20.3,.600
3.8,158,0.0,34.4,25-275,30:00,4.3,0.0,.563
