CS,G,Player,AB,SLG,SF,POS
0,2,C Hernandez,1,.000,0,P
4,55,L Grayson,176,.364,2,OF
0,59,D Nicholson,136,.375,2,1B
0,96,J Fasano,365,.384,2,1B
2,31,I Castro,112,.339,0,2B
0,5,R Robnett,14,.643,1,OF
0,78,E Monzon,269,.357,3,SS
3,118,B Wood,453,.552,8,SS
7,121,J Richardson,444,.500,3,3B
9,110,S Boucher,416,.305,2,OF
0,2,B Allen,0,--,0,P
0,24,D Castillo,72,.236,2,C
2,54,D Espino,182,.253,3,C
0,4,J Senreiso,15,.467,1,OF
0,95,D Brown,384,.490,10,OF
1,83,M Saccomanno,298,.517,2,3B
1,85,B Stavisky,329,.450,1,OF
4,136,H Pence,523,.533,5,OF
3,99,K Suzuki,376,.415,1,C
3,18,S Rodriguez,65,.662,0,SS
0,46,L Oliveros,153,.196,1,C
2,15,K Reynolds,46,.283,0,LF
0,1,C Robertson,0,--,0,P
1,31,S Youngbauer,118,.415,2,2B
5,83,B Zobrist,315,.473,1,SS
5,104,T Tulowitzki,423,.473,5,SS
0,1,R Ventura,2,.000,0,P
0,19,A Arias,6,.167,0,P
0,3,U Jimenez,5,.000,0,P
0,2,S Kent,0,--,0,P
3,96,M Allegra,355,.473,7,OF
5,59,A Webster,216,.463,1,OF
7,121,T Metcalf,425,.325,4,3B
7,107,J Bourgeois,411,.394,5,2B
0,1,J Skaggs,1,1.000,0,P
1,50,T Buck,212,.472,0,OF
9,85,R Gorecki,327,.474,2,OF
1,66,R Washington,232,.616,2,SS
0,3,B Valichka,10,.400,0,C
0,9,M Corpas,0,--,0,P
0,1,R Aguilar,1,.000,0,P
5,100,L Turner,318,.336,3,2B
1,111,N Stavinoha,417,.460,6,OF
2,109,J Gaetti,392,.497,4,OF
0,6,L Bigbie,14,.500,1,OF
2,65,M Hubbard,242,.421,1,1B
1,87,D Bernier,246,.382,2,1B
6,79,O Navarro,266,.335,0,SS
0,1,J Coleman,0,--,0,P
7,137,C Lubanski,524,.475,5,LF
0,6,J Asahina,9,.444,0,P
1,8,C Lambert,14,.071,0,P
0,11,J Burch,0,--,0,P
2,54,A Morrissey,208,.457,1,2B
3,42,G Harris,160,.256,1,OF
1,5,J Brewer,19,.316,1,SS
2,27,T Redman,103,.369,0,CF
0,39,J Sandberg,140,.336,0,3B
9,133,A Sanchez,542,.352,8,SS
0,10,E Ulloa,13,.462,0,P
1,120,V Spanos,439,.440,8,1B
0,12,P Estrada,0,--,0,P
4,120,N Gold,452,.582,5,1B
0,3,L Apodaca,7,.000,0,C
2,32,R Laya,77,.299,0,SS
6,134,M Brown,515,.495,2,3B
1,21,C Coughlan,31,.387,0,OF
0,42,B Martin,133,.466,0,OF
0,2,R Casanova,11,.273,0,C
1,45,J Nelson,163,.411,0,OF
0,42,J Ruchti,144,.319,0,C
0,11,M Kaiser,22,.182,0,P
2,132,J Koshansky,500,.526,2,1B
0,65,T Hanson,252,.298,0,3B
8,120,I Stewart,462,.452,4,3B
0,3,R Rundles,5,.000,0,P
1,15,J Arroyo,37,.135,0,2B
0,60,B LaHair,222,.428,1,1B
0,9,C Smith,28,.321,0,SS
3,40,Y Chen,149,.443,3,2B
0,15,J Clement,59,.525,1,C
1,60,K Davidson,172,.279,4,C
0,2,M Liverpool,4,.250,0,OF
4,83,M Macri,288,.372,5,3B
0,3,P Bako,12,.167,0,C
1,39,M Nickeas,113,.363,4,C
7,73,T Evans,263,.578,2,OF
0,10,D Rollandini,1,.000,0,P
0,1,D DePriest,0,--,0,P
0,5,M Albers,9,.000,0,P
0,23,T Sanchez,83,.506,1,C
0,44,C Iannetta,156,.622,1,C
11,93,D Bacon,339,.327,2,OF
0,19,D Smith,60,.200,1,C
0,17,T Parker,44,.227,0,OF
0,1,J Garcia,0,--,0,P
1,42,B Harrison,163,.491,1,OF
0,17,J Miller,0,--,0,P
3,118,G Porter,440,.498,4,RF
0,27,B Schweiger,78,.231,1,C
3,96,M Pali,345,.348,1,OF
0,5,S Pomeranz,10,.300,0,P
1,28,J Perry,107,.626,1,RF
0,6,J Peguero,0,--,0,P
1,93,K Richardson,303,.498,1,C
0,4,S Colyer,0,--,0,P
0,35,D Gates,121,.413,0,OF
