SH,GIDP,Player,OBP,G,HR,H,AB
0,5,S Peterson,0.367,76,6,85,285
1,2,H Perez,0.289,21,0,19,72
0,1,F Perez,0.273,3,0,2,10
1,3,D Alfonso,0.222,10,0,6,27
0,0,J Mauer,0.444,5,0,6,15
0,1,O Morales,0.256,24,0,16,75
0,1,S Chapman,0.129,10,0,3,30
1,2,J Jones,0.267,41,0,21,116
0,4,J Newton,0.311,75,8,70,266
1,1,J Sanchez,0.289,15,0,8,35
0,3,M Smith,0.327,15,5,13,50
0,0,N Johnson,0.333,2,0,1,3
0,11,D Mitchell,0.254,101,11,69,331
1,8,C Guzman,0.347,126,15,137,472
2,8,J Opitz,0.347,104,2,97,356
1,19,C Smith,0.319,94,10,106,371
2,0,D Rundle,0.277,15,0,8,42
0,1,C Puckett,0.143,5,0,1,18
0,4,M Rodriguez,0.298,105,9,104,396
1,4,S Fortenberry,0.265,59,6,33,189
1,7,C Swauger,0.318,87,7,79,289
5,4,S Castro,0.34,96,3,108,358
0,1,F Martinez,0.167,6,0,3,18
4,3,J Eigsti,0.286,42,0,29,128
0,0,T Maccani,0.241,8,0,5,27
1,4,D Berg,0.326,45,1,38,159
0,2,C Corporan,0.292,14,0,12,46
1,6,S Miranda,0.359,82,1,77,259
0,9,M Dominguez,0.333,103,11,100,381
0,1,M Konstanty,0.125,5,0,1,15
4,7,J Matulia,0.313,87,2,88,317
4,7,J Fernandez,0.301,84,4,57,255
0,1,C McMurray,0.115,9,0,2,25
3,4,J Smith,0.333,49,1,36,148
6,12,M Dolenc,0.332,110,4,111,386
4,3,L Ott,0.388,64,2,61,218
1,6,A Buchholz,0.297,90,2,79,334
0,0,M Thomas,0.375,2,0,3,8
0,6,J Kahaulelio,0.311,58,1,52,216
0,1,J Contreras,0.121,11,0,3,32
0,3,B Guyer,0.407,73,2,92,265
4,6,G Sexton,0.313,67,3,58,238
0,19,B Laird,0.329,124,13,120,451
0,2,R Keedy,0.304,27,0,21,89
0,1,A Brown,0.357,4,0,2,11
3,3,A de San Miguel,0.383,36,1,21,91
1,4,A Quiroz,0.314,96,0,65,284
1,3,J Montero,0.406,48,8,64,180
2,10,H Mense,0.304,105,4,86,364
0,1,M Sweeney,0.273,6,0,3,19
1,2,J Bour,0.305,44,2,41,156
4,6,J Curtis,0.301,90,1,62,314
0,0,J Votto,0.333,1,0,0,2
3,11,D Mesoraco,0.311,92,8,71,312
1,8,K Nieuwenhuis,0.357,123,16,132,482
0,0,J Bartlett,0.538,3,0,5,11
1,4,A Krum,0.395,53,0,52,191
4,4,D Bolivar,0.267,73,1,58,256
1,13,M Durant,0.312,113,12,79,375
0,0,L Castillo,0.2,3,0,2,10
0,2,L Grullon,0.273,18,0,9,49
0,11,E Fryer,0.333,59,2,56,224
0,2,A Dirks,0.41,27,0,34,103
4,1,S McDougall,0.301,66,3,44,196
0,4,R Chirinos,0.4,69,11,68,227
1,2,K Smith,0.37,63,1,69,218
7,2,T Campana,0.335,108,0,122,430
0,1,J Kunkel,0.214,8,0,5,26
0,0,J Baksh,0.222,2,0,1,8
1,0,D Gregorius,0.274,22,0,18,71
3,1,L Sanchez,0.243,24,0,12,67
3,3,C White,0.303,90,4,75,319
6,4,J Reed,0.306,124,2,106,478
4,2,D Sappelt,0.333,62,4,74,251
2,7,W Ibarra,0.294,74,0,62,234
0,0,T Brown,0.244,12,1,7,37
0,13,A Romine,0.322,118,13,122,442
0,0,D Stegall,0.333,2,1,1,5
0,0,A Pagan,0.563,4,0,5,12
0,2,A Castellanos,0.232,21,1,10,53
0,0,J Abruzzo,0.25,5,0,1,10
1,6,B Revere,0.372,121,2,145,466
5,8,C Sedbrook,0.352,67,2,50,224
0,0,Y Solarte,0.188,4,0,3,16
3,3,C Lopez,0.236,39,1,20,115
0,2,I Davis,0.376,59,7,64,222
0,0,M Watson,0.5,3,0,4,9
0,0,D Doyle,1.0,1,0,3,3
0,1,B Van Kirk,0.444,6,2,6,20
2,7,C Gindl,0.363,112,17,109,394
3,8,S Carlson,0.252,41,0,26,124
0,1,J Wideman,0.327,14,0,11,44
0,7,B Tripp,0.348,87,11,87,313
0,1,T Glaus,0.231,6,0,5,25
5,15,O Martinez,0.323,130,1,110,433
2,23,N Soto,0.282,131,11,125,505
2,6,B Maldonado,0.348,122,18,112,410
0,1,M Roberts,0.143,7,0,3,21
0,1,F Guzman,0.364,6,0,5,19
0,0,J Rodriguez,0.286,2,0,2,7
8,4,F Galvis,0.28,63,1,62,251
7,10,B Brewer,0.288,104,1,79,356
1,6,P Vasquez,0.277,44,3,38,150
3,20,F Hernandez,0.295,121,2,125,472
0,9,M Rizzotti,0.351,101,13,92,350
0,3,C Emanuele,0.274,21,4,15,76
0,1,L Nieves,0.25,1,0,1,4
0,0,K Soto,0.391,6,0,7,21
0,5,S Susdorf,0.421,40,3,56,151
0,15,D Romero,0.311,118,5,94,417
0,2,S Roof,0.303,8,0,8,31
8,13,R Curry,0.328,92,10,77,278
1,8,J Tolisano,0.305,106,12,93,401
3,3,J Gil,0.248,29,0,20,96
1,4,J Laster,0.278,86,12,68,295
1,1,D Lehmann,0.367,25,1,20,68
1,3,R Pena,0.333,34,1,20,90
0,0,C Kingrey,0.18,14,0,6,47
3,3,J Benson,0.414,80,5,75,263
0,4,M Fields,0.293,51,11,52,201
26,10,E Farris,0.341,124,7,141,473
0,3,D Thomas,0.332,75,4,72,272
2,2,D Anderson,0.327,36,2,36,131
