Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s
GSK de Silva,2009-2013,13,13,0,279,102,21.46,413,67.55,1,0,35,5
WKG Dilruk,2008-2013,27,18,5,241,33,18.53,309,77.99,0,0,23,2
WA Eranga,2007-2013,30,29,1,677,100*,24.17,1009,67.09,1,1,73,11
PC Hewage,2008-2013,28,23,9,200,50*,14.28,383,52.21,0,1,9,1
DHA Isanka,2009-2013,24,22,4,244,41,13.55,268,91.04,0,0,22,6
S Jayawardene,2009-2013,7,6,2,89,33*,22.25,77,115.58,0,0,5,5
DMAD Karunaratne,2008-2013,10,8,8,21,9*,-,76,27.63,0,0,2,0
KA Kumara,2001-2013,66,64,3,1045,72,17.13,1805,57.89,0,3,47+,15+
AKKY Lanka,2011-2013,13,13,0,158,54,12.15,185,85.4,0,1,22,4
T Nadeera,2010-2013,16,15,0,334,40,22.26,518,64.47,0,0,24,2
PKN Pavithra,2013-2013,1,1,0,8,8,8.00,17,47.05,0,0,1,0
