TS%,STL%,DRB%,MP,eFG%,ORtg,TRB%,DRtg
 ,0.0,20.1,12:00, ,209,17.7,108
.000,0.0,36.4,12:00,.000,82,31.5,113
 ,0.0,0.0,8:00, , ,0.0,122
.000,0.0,14.8,13:00,.000,27,15.9,127
.500,0.0,22.1,14:00,.500,122,15.4,113
 ,0.0,6.5,16:00, ,0,3.3,114
1.031,0.0,0.0,9:00,1.000,214,18.4,130
1.000,0.0,32.6,16:00,1.000,201,22.0,118
.000,0.0,6.1,19:00,.000,103,9.7,115
 ,0.0,20.0,10:00, ,0,10.0,107
.420,0.0,0.0,7:00,.333,116,20.8,117
1.000,0.0,29.4,12:00,1.000,202,20.5,109
.000,0.0,39.0,18:00,.000,48,26.7,106
1.136,0.0,47.1,6:00, ,228,43.0,99
.377,0.0,25.0,12:00,.000,102,29.2,92
.000,0.0,28.2,5:00,.000,43,12.8,113
1.000,0.0,31.2,7:00,1.000,200,25.4,89
.000,0.0,32.9,11:00, ,23,17.1,97
 ,0.0,0.0,8:00, , ,0.0,113
 ,0.0,0.0,5:00, , ,0.0,108
 ,0.0,31.4,17:00, ,212,19.0,119
 ,6.2,11.5,8:00, , ,6.7,92
.581,0.0,8.4,13:00,.667,110,13.0,102
