RAA,Rrep,PA,oRAR,dWAR,Salary,Pos Summary,Age,Rfield,Acquired
12,15,481,20,0.7, ,*879,27,7,Purchased
0,0,0,0,0.0, ,1,30,0,Traded
0,0,69,0,0.0,"$4,000,000",1,33,0,Free Agency
-22,181,6150,182,-2.7,"$91,550,260", ,30.7,-22, 
1,0,3,1,0.0,"$500,000",1,36,0,Purchased
-2,0,3,-1,-0.0, ,/9,29,-0,Traded
6,9,300,16,0.2,"$362,500",8,29,0,Amateur Draft
-6,2,61,-3,-0.3,"$475,000",3/7,34,-2,Free Agency
-0,0,1,-0,0.0, ,1,27,0,Traded
1,0,14,2,-0.0, ,/87,26,-0,Free Agency
0,0,1,0,0.0, ,1,23,0,Free Agency
-0,0,1,-0,0.0,"$237,500", ,27,0,Purchased
0,0,1,0,0.0,"$1,833,333",1,32,0,Free Agency
0,0,0,0,0.0, ,/1,33,0,Free Agency
3,0,64,3,0.0,"$9,250,000",1,36,0,Traded
-0,0,21,-0,0.0, ,1,24,0,Traded
0,0,0,0,0.0, ,/1,25,0,Traded
0,0,0,0,0.0, ,/1,21,0,Amateur Draft
4,3,105,5,0.1, ,79/38D,31,3,Free Agency
-3,8,242,5,-0.1,"$550,000",635/4D,35,-0,Free Agency
-12,20,655,20,-0.9,"$7,939,664",*4,34,-12,Traded
0,0,0,0,0.0,"$5,812,500",1,29,0,Traded
-19,16,499,2,0.2,"$6,250,000",*6,31,-5,Amateur Free Agent
