AVG,oppOBP,AGE,LG
0.23,0.322,24,AL
0.234,0.31,29,NL
0.244,0.313,27,NL
0.26,0.308,27,NL
0.228,0.325,25,AL
0.284,0.299,31,NL
0.234,0.31,30,NL
0.239,0.318,28,AL
0.201,0.318,26,NL
0.203,0.308,23,NL
0.258,0.325,26,AL
0.268,0.312,26,NL
0.261,0.307,26,NL
0.277,0.324,28,AL
0.198,0.315,28,AL
0.257,0.317,25,AL
0.253,0.316,30,AL
0.265,0.318,26,AL
0.237,0.322,36,AL
0.196,0.302,23,NL
0.234,0.309,27,NL
0.269,0.321,25,AL
0.281,0.308,29,NL
0.258,0.311,36,NL
0.26,0.32,34,AL
0.233,0.316,24,AL
0.225,0.315,26,NL
0.22,0.322,32,AL
0.262,0.31,22,NL
0.318,0.323,27,AL
0.255,0.312,28,NL
0.307,0.319,27,AL
0.293,0.316,29,NL
0.246,0.314,32,AL
0.274,0.321,26,AL
0.3,0.32,29,AL
0.299,0.309,35,NL
0.285,0.306,28,NL
0.253,0.313,22,NL
0.239,0.306,27,NL
0.214,0.312,32,NL
0.261,0.312,27,NL
0.271,0.317,29,AL
0.177,0.324,25,NL
0.295,0.309,34,NL
0.242,0.309,25,NL
0.318,0.311,35,NL
0.25,0.314,30,AL
0.269,0.306,32,NL
0.277,0.321,28,AL
0.252,0.318,27,AL
0.219,0.316,24,AL
0.259,0.318,29,AL
0.242,0.321,24,AL
0.261,0.31,25,NL
0.289,0.324,29,AL
0.291,0.307,29,NL
0.248,0.311,31,NL
0.247,0.315,30,NL
0.243,0.321,25,AL
0.253,0.318,29,AL
0.285,0.321,34,AL
0.247,0.317,34,AL
0.264,0.314,23,NL
0.252,0.309,26,NL
0.223,0.309,25,NL
0.246,0.304,29,NL
0.247,0.319,24,AL
0.214,0.318,26,AL
0.223,0.321,26,AL
0.261,0.308,27,NL
0.261,0.309,30,NL
0.226,0.319,25,AL
0.249,0.323,38,AL
0.249,0.316,27,AL
0.285,0.32,22,AL
0.272,0.318,27,AL
0.262,0.312,29,NL
0.243,0.312,23,NL
