Game Date,Team,Opp,Result,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,HBP,IBB,SH,SF,GDP,C-G#,Notes
1989-05-31,NYA,SEA,W 9-5 vs SEA,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,"1st career game, 1st career hit, 1st career RBI"
1989-06-04,NYA,MIL,W 12-9 @MIL,6,2,1,0,0,1,1,0,0,0,1,0,0,0,0,0,5,1st career home run
1989-06-10,NYA,BOS,L 8-14 vs BOS,3,2,2,0,0,0,1,1,0,2,0,0,0,0,0,0,8,1st career stolen base
1992-04-13,ATL,CIN,L 4-5 @CIN,4,2,4,1,2,0,0,0,0,0,0,0,0,0,0,0,132,"0 Triples, 4 hits"
1992-05-30,ATL,NYN,W 6-1 @NYN,5,3,4,0,0,0,1,3,0,0,1,0,0,0,0,0,165,"4 hits, 3 stolen bases"
1992-07-05,ATL,CHN,L 0-8 vs CHN,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,185,4 strikeouts
1993-07-03,ATL,FLO,W 11-2 vs FLO,5,2,4,1,1,0,1,1,0,0,1,0,0,0,0,0,269,4 hits
1993-07-24,ATL,PIT,W 11-6 @PIT,6,2,4,0,0,1,3,1,0,0,1,0,0,0,0,0,283,4 hits
1995-05-13,CIN,ATL,L 6-9 @ATL,4,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,425,100th career stolen base
1995-05-22,CIN,HOU,W 3-2 vs HOU,4,0,2,0,0,0,0,3,0,1,1,0,0,0,0,0,432,3 stolen bases
1995-09-10,SFN,CHN,W 8-7 @CHN,6,2,4,1,0,0,0,0,0,0,2,0,0,0,0,0,483,4 hits
1997-04-02,CIN,COL,W 5-3 vs COL,5,1,4,0,0,0,1,1,0,0,1,0,0,0,0,0,496,4 hits
1997-04-06,CIN,FLO,L 2-3 @FLO,5,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,500,500th career game
1997-04-14,CIN,ATL,L 5-15 @ATL,4,1,2,0,0,0,0,4,0,1,1,0,0,0,0,0,506,4 stolen bases
1997-06-28,CIN,SLN,L 6-12 vs SLN,5,2,1,0,0,0,0,3,0,0,2,0,0,0,0,0,568,3 stolen bases
1997-07-14,CIN,SLN,W 4-2 vs SLN,3,0,2,0,0,0,0,3,0,1,1,1,0,0,0,0,580,3 stolen bases
