AVG,POS,SF,SO,SLG,RBI,CS,H
0.22,1B,1,30,0.407,13,1,20
0.19,3B,0,19,0.242,12,2,29
0.333,3B,0,4,0.5,1,0,8
0.277,3B,5,70,0.422,60,1,107
0.253,3B,3,128,0.367,83,4,120
0.259,3B,0,10,0.333,7,0,14
0.185,3B,0,2,0.296,0,0,5
0.295,3B,3,97,0.552,106,1,141
0.235,1B,4,113,0.371,68,0,107
0.212,3B,0,10,0.273,4,0,7
0.355,3B,1,34,0.645,35,4,54
0.167,1B,0,6,0.167,0,0,2
0.285,1B,3,86,0.455,55,5,117
0.471,3B,0,3,1.059,6,1,8
0.304,1B,3,49,0.473,50,2,83
0.242,3B,3,64,0.332,27,3,67
0.195,1B,1,17,0.317,9,0,8
0.291,1B,1,15,0.457,34,2,37
0.221,1B,1,49,0.395,25,0,38
0.5,3B,0,1,0.5,2,0,3
0.31,3B,1,11,0.333,5,6,27
0.173,3B,0,30,0.214,6,3,17
0.225,1B,2,61,0.314,32,2,71
0.249,1B,5,96,0.476,63,2,78
0.264,1B,2,22,0.38,20,0,43
0.27,1B,2,27,0.475,16,0,33
0.389,1B,0,5,0.639,8,1,14
0.181,3B,2,34,0.268,9,0,23
0.178,1B,1,58,0.31,27,0,35
