Batter,Team,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,AVG,OBP,SLG,OPS
Boss Moanaroa,Gre,184,27,46,11,0,2,32,0,0,40,57,0.25,0.38,0.342,0.722
Scott Podsednik,Paw,43,3,13,1,1,0,5,2,2,4,8,0.302,0.347,0.372,0.719
Mookie Betts,Low,124,18,38,2,1,0,20,12,4,15,10,0.306,0.38,0.339,0.719
Lars Anderson,Paw,175,31,38,11,0,6,23,1,0,33,42,0.217,0.335,0.383,0.718
Deven Marrero,Low,114,21,30,7,1,0,12,16,3,19,24,0.263,0.373,0.342,0.715
Sean Coyle,Sal,224,30,58,16,2,3,31,8,0,16,56,0.259,0.327,0.388,0.715
Bryan Johns,SalGre,119,16,31,11,0,0,10,2,2,17,23,0.261,0.357,0.353,0.71
Peter Hissey,Por,123,13,34,9,1,1,18,12,3,8,25,0.276,0.319,0.39,0.709
Dan Butler,PawPor,165,15,41,11,0,5,15,0,0,9,30,0.248,0.303,0.406,0.709
Tzu-Wei Lin,GCL,55,12,16,1,0,0,10,3,2,10,13,0.291,0.394,0.309,0.703
Kevin Mager,LowGCL,64,5,17,5,0,0,11,0,1,7,10,0.266,0.356,0.344,0.7
Matt Spring,Por,90,9,19,7,0,2,8,0,0,17,41,0.211,0.343,0.356,0.698
Danny Valencia,Paw,16,1,4,0,0,1,3,0,1,0,4,0.25,0.25,0.438,0.688
Kolbrin Vitek,3 Teams,97,12,25,10,0,1,6,0,0,4,27,0.258,0.294,0.392,0.686
Andy LaRoche,Paw,83,11,19,6,0,2,8,0,1,8,12,0.229,0.309,0.373,0.682
Alex Hassan,Paw,169,17,41,5,0,4,26,0,0,22,33,0.243,0.337,0.343,0.68
Nick Natoli,PorGre,111,17,27,5,0,1,9,5,0,19,23,0.243,0.364,0.315,0.679
Robert Del Rosario,DSL,123,15,29,3,2,3,15,12,1,13,19,0.236,0.312,0.366,0.677
Williams Jerez,Low,37,3,10,3,0,0,2,3,0,2,8,0.27,0.325,0.351,0.676
Raymel Flores,DSL,66,11,14,1,3,0,11,2,1,10,18,0.212,0.358,0.318,0.676
Christian Vazquez,PorSal,175,27,41,9,0,3,25,2,0,25,43,0.234,0.337,0.337,0.674
Ronald Bermudez,PawPor,98,12,25,6,2,1,12,2,0,4,22,0.255,0.286,0.388,0.673
Lucas LeBlanc,SalGre,101,14,26,4,1,0,7,1,2,9,24,0.257,0.353,0.317,0.67
Ynoel Aguero,GCL,9,2,2,2,0,0,1,0,0,0,4,0.222,0.222,0.444,0.667
Heiker Meneses,PorSal,186,28,46,11,3,2,18,12,5,6,44,0.247,0.289,0.371,0.66
