Batter,Team,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,AVG,OBP,SLG,OPS
Henry Ramos,Sal,27,95,22,31,4,2,4,14,5,3,13,17,0.326,0.4,0.537,0.937
Alex Hassan,PawGre,21,69,11,26,8,0,1,13,0,0,16,13,0.377,0.5,0.536,1.036
Aneury Tavarez,Gre,22,87,15,26,6,4,2,16,7,3,4,29,0.299,0.33,0.529,0.858
Keury De La Cruz,Sal,28,111,16,43,10,1,1,27,3,0,5,17,0.387,0.415,0.523,0.938
Xander Bogaerts,PawPor,26,95,16,29,2,1,5,15,2,0,16,21,0.305,0.405,0.505,0.911
Mario Martinez,Gre,24,95,16,33,6,0,3,19,0,1,6,26,0.347,0.392,0.505,0.897
Blake Swihart,Sal,20,72,9,20,8,1,2,8,0,2,9,20,0.278,0.354,0.5,0.854
Brandon Jacobs,Sal,25,87,15,23,5,0,5,15,4,0,12,28,0.264,0.366,0.494,0.861
David Chester,Gre,23,87,11,24,10,0,3,23,1,0,8,22,0.276,0.333,0.494,0.828
Michael Almanzar,Por,25,94,13,27,10,1,2,14,2,0,8,16,0.287,0.337,0.479,0.815
Jackie Bradley Jr.,Paw,19,82,12,21,10,1,2,9,2,2,8,14,0.256,0.33,0.476,0.805
Victor Acosta,DSL,22,79,10,20,5,0,4,14,6,1,15,7,0.253,0.372,0.468,0.841
Bryce Brentz,Paw,21,85,7,21,3,0,5,12,0,0,5,21,0.247,0.304,0.459,0.763
Mookie Betts,Gre,22,81,23,28,9,0,0,8,5,0,16,12,0.346,0.454,0.457,0.91
Dan Butler,Paw,16,57,6,15,2,0,3,11,0,0,6,13,0.263,0.338,0.456,0.795
Drew Turocy,Gre,18,71,12,20,10,1,0,5,1,0,3,17,0.282,0.32,0.451,0.771
Travis Shaw,Por,25,89,10,24,4,0,4,15,3,0,14,22,0.27,0.369,0.449,0.818
Garin Cecchini,PorSal,24,79,20,27,8,0,0,8,3,4,22,17,0.342,0.49,0.443,0.933
Mitch Maier,Paw,20,72,21,23,5,0,1,13,2,0,16,19,0.319,0.443,0.431,0.874
Drew Sutton,Paw,20,72,15,22,9,0,0,8,1,1,11,14,0.306,0.405,0.431,0.835
Peter Hissey,Por,16,65,9,17,5,0,2,8,3,1,4,12,0.262,0.304,0.431,0.735
Jeremy Hazelbaker,Paw,22,84,11,24,4,1,2,12,5,1,8,20,0.286,0.355,0.429,0.783
Franklin Guzman,DSL,25,90,10,25,5,2,1,13,4,3,9,16,0.278,0.343,0.411,0.754
Tony Thomas,Por,22,83,12,18,4,0,4,17,4,0,8,21,0.217,0.295,0.41,0.704
Cody Koback,SalGre,23,86,11,25,6,1,0,10,1,1,6,13,0.291,0.358,0.384,0.742
