DRtg,G,AST%,Date,Rk
115,58,0.0,2009-04-09,58
126,19,0.0,2009-01-09,19
111,34,12.7,2009-02-20,34
117,21,0.0,2009-01-13,21
104,47,8.3,2009-03-19,47
96,40,17.6,2009-03-03,40
111,45,0.0,2009-03-15,45
121,22,0.0,2009-01-14,22
100,49,7.4,2009-03-24,49
130,33,5.3,2009-02-18,33
133,42,12.9,2009-03-09,42
92,13,48.4,2008-12-19,13
103,57,11.6,2009-04-07,57
105,4,0.0,2008-11-09,4
100,56,0.0,2009-04-05,56
106,5,0.0,2008-11-18,5
126,17,0.0,2009-01-06,17
122,39,8.2,2009-03-01,39
80,1,0.0,2008-10-28,1
104,46,12.3,2009-03-17,46
103,9,69.3,2008-12-07,9
113,54,0.0,2009-04-01,54
117,14,0.0,2008-12-28,14
112,44,9.8,2009-03-12,44
115,28,0.0,2009-02-05,28
92,32,14.5,2009-02-17,32
98,6,0.0,2008-11-21,6
88,2,0.0,2008-10-29,2
102,41,9.9,2009-03-06,41
