Split,DEF,FTM,FG%,3FGA,3FGM,FGM,GS
Games In August,-,-,-,-,-,-,-
Games In April,3.5,1.2,.395,7.2,2.2,4.2,4
Games As Starter,3.0,2.8,.421,5.7,1.9,4.3,26
Games In February,3.5,3.5,.375,4.0,1.0,3.0,2
Games In October,0.5,2.2,.464,2.2,0.8,3.2,4
Wins,2.2,2.6,.435,4.7,1.4,3.9,32
Games In May,1.6,3.4,.397,4.4,1.4,3.4,8
Games In January,3.0,1.4,.451,4.8,1.1,4.1,9
Last 10 Games,3.2,2.5,.386,4.8,0.6,3.9,10
Games In January,3.2,2.2,.458,5.6,1.4,4.4,5
International Season Stats,3.0,3.0,.429,5.7,1.9,4.4,26
Games In April,2.6,1.8,.414,5.4,1.6,3.6,8
Games As Starter,2.4,2.6,.427,4.6,1.3,3.8,37
Games As Starter,2.7,2.7,.422,5.1,1.5,4.0,64
Wins,2.5,2.6,.435,5.1,1.5,4.0,52
Games In December,2.3,4.3,.434,5.7,1.8,3.8,5
Losses,5.0,3.0,.333,7.0,2.0,5.0,1
Away Games,2.4,2.4,.418,5.5,1.8,4.0,32
Last 5 Games,3.4,1.8,.404,4.8,0.2,4.6,5
Away Games,2.6,2.4,.422,5.9,2.3,4.4,14
Games In June,3.7,1.7,.373,5.0,0.4,4.0,7
Games In October,1.6,2.9,.493,4.0,1.6,4.7,7
Away Games,2.3,2.5,.415,5.3,1.5,3.7,18
Games In October,3.0,3.7,.513,6.3,2.7,6.7,3
Games As Starter,5.0,3.0,.333,7.0,2.0,5.0,1
Games In May,1.5,2.8,.422,4.5,1.3,3.2,6
v. Opp. At or Below .500,3.0,3.1,.361,5.5,1.5,3.5,11
Games In December,1.5,2.0,.357,4.5,1.5,2.5,2
Games In Rotation,1.0,8.0,.667,6.0,3.0,6.0,0
Games In September,-,-,-,-,-,-,-
Games In April,1.8,2.2,.444,3.5,1.0,3.0,4
Limited Playing Time,-,-,-,-,-,-,-
Home Games,2.4,2.7,.459,4.1,1.1,4.0,19
Home Games,2.8,3.1,.445,4.7,1.3,4.1,32
v. Opp. Above .500,2.9,2.9,.473,5.9,2.2,4.9,15
International Season Stats,5.0,3.0,.333,7.0,2.0,5.0,1
Wins,3.0,2.6,.433,5.7,1.8,4.3,20
International Season Stats,2.4,2.6,.438,4.7,1.3,3.9,37
Losses,3.2,3.5,.419,5.2,1.8,4.3,12
Last 5 Games,3.2,3.0,.339,6.2,1.8,3.8,5
