SF,G,CS,OPS,3B,OBP,Player,HR
0,29,0,0.517,0,.242,F Martinez,1
6,120,7,0.729,8,.324,G Parra,5
2,129,2,0.74,2,.348,J Hermida,13
1,61,0,0.548,1,.277,B Giles,2
4,139,2,0.775,1,.329,R Ludwick,22
0,1,1,0.0,0,--,B Barton,0
1,30,0,0.946,2,.353,R Ryal,3
2,151,2,0.79,1,.321,C Ross,24
3,87,1,0.687,2,.329,C Duncan,5
2,111,2,0.722,0,.338,R Church,4
0,16,1,0.207,0,.103,C Patterson,0
0,24,0,0.52,0,.250,J Bourgeois,1
1,124,0,0.707,2,.326,D Young,7
0,80,1,0.641,2,.336,A Kearns,3
2,64,1,0.72,5,.338,C Sullivan,2
0,9,1,1.161,0,.615,L Durango,0
3,135,10,0.77,10,.363,D Fowler,4
1,125,5,0.878,4,.390,M Diaz,13
5,146,10,0.796,5,.375,K Fukudome,11
1,31,0,0.62,2,.247,J Bowker,2
5,63,4,1.023,2,.419,M Holliday,13
1,27,1,0.528,0,.267,A Amezaga,0
3,107,10,0.729,4,.337,E Dukes,8
2,97,3,0.743,3,.370,C Dickerson,2
9,157,4,0.732,4,.309,J Francoeur,15
0,21,0,0.197,0,.154,J Salazar,0
4,122,2,0.654,0,.279,J Gerut,9
3,159,11,0.818,5,.346,H Pence,25
0,11,1,0.813,0,.313,X Paul,1
0,65,1,0.821,1,.409,S Fuld,1
2,98,1,0.879,0,.338,J Gomes,20
1,137,4,0.757,6,.364,W Harris,7
2,133,3,0.863,0,.367,J Willingham,24
1,145,12,0.757,8,.365,J Pierre,0
0,29,0,0.707,0,.304,M Murton,1
0,19,0,0.378,0,.222,C Duffy,0
1,107,2,0.597,2,.268,D Erstad,2
1,22,0,0.685,0,.385,A De Aza,0
0,6,0,0.697,0,.333,S Taguchi,0
3,158,6,0.937,6,.386,R Braun,32
6,116,1,0.702,2,.302,N Schierholtz,5
1,92,0,0.689,2,.306,B Carroll,3
1,124,3,0.775,1,.378,M Bradley,12
1,31,0,0.422,0,.222,R Gorecki,0
5,149,3,0.795,3,.342,M Cameron,24
4,145,3,0.903,3,.384,B Hawpe,23
4,129,6,0.788,2,.352,N McLouth,20
1,6,0,0.426,0,.250,T Colvin,0
0,42,4,0.762,1,.323,D Stubbs,8
0,20,2,0.481,0,.267,J Gathright,0
1,50,1,0.6,0,.313,J Schafer,2
4,108,5,0.836,9,.365,A McCutchen,12
0,40,1,0.793,1,.343,J Maxwell,4
4,138,5,0.899,7,.366,J Upton,26
1,24,1,0.707,1,.250,T Oeltjen,3
8,149,2,0.671,5,.318,R Winn,2
0,3,0,0.533,0,.333,E Brown,0
9,135,0,0.705,0,.303,G Anderson,13
1,10,0,0.143,0,.143,J Repko,0
0,75,1,0.876,8,.343,A Torres,6
6,159,8,0.842,7,.352,M Kemp,26
0,8,0,0.785,0,.400,M Jones,0
2,39,0,0.621,0,.242,N Stavinoha,2
0,30,0,0.66,1,.275,N Evans,1
0,54,1,0.868,0,.355,K Blanks,10
5,134,0,0.899,3,.347,R Ibanez,34
2,77,0,0.728,3,.346,F Catalanotto,1
0,54,0,0.741,0,.373,E Hinske,1
3,115,6,0.753,3,.335,C Hart,12
0,5,0,0.778,0,.471,B Jones,0
2,134,4,0.711,4,.311,C Young,15
0,3,0,0.9,0,.400,R Bernadina,0
2,147,1,0.714,2,.307,C Rasmus,16
