RAR,WAA,Rpos,waaWL%,Name,Rfield,162WL%,RAA,dWAR
-6,-1.9,-8,.479,Carl Everett#,1,.488,-19,-0.6
9,-0.1,1,.498,Willie Bloomquist,5,.499,-2,0.7
0,0.0,0,.500,Jorge Campillo,0,.500,0,0.0
-3,-1.1,1,.484,Jeremy Reed*,1,.493,-11,0.2
0,0.0,0,.500,Jeff Harris,0,.500,0,0.0
241,2.4,-6,.501,Team Total,49,.502,15,4.7
1,0.1,0,.522,Oswaldo Navarro,0,.501,1,0.0
18,-0.3,8,.497,Yuniesky Betancourt,-1,.497,-4,0.7
0,0.1,1,.502,Jamie Moyer*,0,.500,0,0.0
-2,-0.3,-0,.472,Matt Lawton*,-1,.498,-3,-0.1
-5,-0.8,2,.476,Rene Rivera,1,.495,-9,0.3
-0,-0.1,0,.445,Guillermo Quiroz,0,.500,-0,0.0
0,0.0,0,.500,Julio Mateo,0,.500,0,0.0
0,0.0,0,.500,Jon Huber,0,.500,0,0.0
3,0.2,-1,.507,Greg Dobbs*,0,.501,2,-0.1
0,0.0,0,.501,Francisco Cruceta,0,.500,0,0.0
0,0.0,0,.501,Cha-Seung Baek,0,.500,0,0.0
0,-0.1,-0,.497,Roberto Petagine*,0,.499,-1,0.0
0,0.0,0,.501,Eddie Guardado,0,.500,0,0.0
27,0.3,-10,.501,Richie Sexson,4,.501,2,-0.5
0,0.0,0,.500,Bobby Livingston*,0,.500,0,0.0
0,0.0,0,.501,Eric O'Flaherty*,0,.500,0,0.0
