Description,2002,2003,2004,2005,2006,2007,2007 Q1,2007 Q2,2007 Q3,2007 Q4,2008 Q1,Line
All sectors sector discrepancy,244.5,-106.6,147.5,281.9,313.8,66.2,-378.0,873.6,-161.3,-69.3,-160.5,1
Households and nonprofit organizations sector discrepancy,172.2,-118.8,-38.3,305.7,196.5,-116.8,-280.0,851.0,-958.8,-79.3,-387.8,2
Nonfarm nonfinancial corporate business sector discrepancy,28.9,12.1,-71.3,83.4,51.1,-134.6,-89.7,-184.0,-120.9,-143.8,-116.4,3
"State and local governments, excluding employee retirement funds sector discrepancy",-30.5,-43.7,-58.8,-59.7,-31.1,-44.9,-33.2,-44.2,-49.3,-52.8,-30.0,4
Federal government sector discrepancy,18.1,60.9,18.8,26.5,19.5,0.1,111.1,-199.2,49.3,39.3,100.1,5
Rest of the world sector discrepancy (FOF basis),-42.0,-20.0,72.1,-34.2,-31.3,35.0,29.5,110.9,250.6,-251.1,82.1,6
Total finance sector discrepancy,97.7,2.8,225.0,-39.9,109.0,327.4,-115.8,339.1,667.9,418.3,191.4,7
Monetary authority sector discrepancy,-2.8,-3.4,-3.6,-3.3,-3.3,2.8,-1.8,4.9,2.7,5.5,-7.7,8
Commercial banking sector discrepancy,98.0,27.7,229.5,18.0,110.6,226.0,-82.9,190.3,547.2,249.5,98.1,9
Savings institutions sector discrepancy,4.9,-0.3,0.4,6.9,4.1,0.3,-1.3,0.6,3.5,-1.8,3.3,10
Credit unions sector discrepancy,0.6,1.8,1.6,2.5,1.2,3.7,3.0,3.8,4.1,4.1,-0.7,11
Property-casualty insurance companies sector discrepancy,-16.4,-7.1,-11.6,-11.8,-11.0,13.9,-23.7,55.1,-13.3,37.7,-14.9,12
Life insurance companies sector discrepancy,-25.4,-38.4,-35.8,-12.4,-22.8,-42.9,-28.1,-43.6,-38.6,-61.4,-48.3,13
Mutual funds sector discrepancy,-21.6,2.5,3.2,15.8,29.5,33.5,33.5,38.5,35.7,26.3,25.0,14
Government-sponsored enterprises sector discrepancy,10.2,-14.8,-14.8,-14.9,-5.4,-2.9,4.8,-4.8,13.6,-25.2,1.7,15
Issuers of asset-backed securities sector discrepancy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,16
Finance companies sector discrepancy,32.2,52.2,52.6,-14.6,47.5,32.7,-8.1,82.1,20.2,36.6,20.5,17
Real estate investment trusts sector discrepancy,4.9,-1.8,-0.8,-19.3,-22.5,5.5,-32.6,3.2,37.6,13.6,-44.8,18
Security brokers and dealers sector discrepancy,13.2,-15.6,4.3,-6.7,-18.9,54.9,21.5,9.1,55.2,133.6,159.3,19
