ORtg,GS,GmSc,TS%,USG%,STL%,BLK%
112,0,9.1,.574,22.8,0.0,0.0
140,0,14.5,.654,25.4,0.0,6.2
0,0,-0.8,.000,10.7,0.0,0.0
0,0,-0.8,.000,13.2,0.0,0.0
109,0,1.2,.387,23.4,0.0,0.0
157,0,10.5,.732,19.8,0.0,3.4
115,0,3.1,.375,18.2,0.0,3.6
69,0,-0.3,.532,11.3,0.0,0.0
150,0,4.4,1.064,12.8,0.0,0.0
152,0,5.8,.581,24.0,0.0,0.0
99,0,4.6,.500,13.6,0.0,8.0
 ,0,0.0, ,0.0,0.0,0.0
300,0,1.9,1.500,6.9,0.0,0.0
85,0,0.5,.333,16.1,0.0,0.0
163,0,6.8,.678,19.1,0.0,0.0
0,0,-1.1,.000,30.5,0.0,0.0
107,0,1.0,.500,39.7,0.0,0.0
59,0,0.8,1.000,14.6,5.7,7.0
97,0,2.3,.564,46.0,0.0,0.0
