CS,SB,AB,AVG,H,SO,3B,POS
0,0,88,.239,21,24,0,C
7,5,199,.206,41,81,1,OF
0,4,278,.295,82,77,0,1B
2,0,72,.181,13,17,1,C
4,4,278,.273,76,65,9,OF
0,0,133,.263,35,39,0,C
5,24,266,.353,94,54,2,OF
6,4,150,.293,44,43,2,OF
1,1,228,.355,81,46,2,1B
1,2,86,.256,22,29,0,OF
0,0,18,.222,4,3,0,C
1,4,105,.219,23,26,2,3B
0,8,237,.316,75,51,3,2B
5,10,269,.316,85,72,5,3B
2,1,159,.264,42,60,1,C
0,1,145,.234,34,43,0,SS
7,3,219,.288,63,52,4,2B
1,1,189,.333,63,44,1,1B
1,1,77,.260,20,19,0,2B
0,0,9,.000,0,6,0,OF
1,0,27,.296,8,5,0,DH
0,0,8,.375,3,3,0,2B
0,0,161,.292,47,37,0,3B
3,5,273,.271,74,85,3,3B
4,2,109,.257,28,38,0,3B
0,1,118,.212,25,27,0,3B
2,17,151,.238,36,54,3,2B
2,7,109,.275,30,30,0,SS
0,1,84,.310,26,19,0,RF
0,0,30,.200,6,4,0,C
1,5,121,.289,35,27,0,OF
4,4,269,.312,84,70,3,OF
0,0,58,.241,14,10,1,C
5,14,157,.242,38,51,2,OF
1,2,133,.226,30,24,1,SS
4,7,193,.326,63,72,3,OF
0,0,7,.000,0,3,0,C
0,1,127,.299,38,19,2,3B
0,0,0,--,0,0,0,P
0,0,1,1.000,1,0,0,C
1,0,103,.369,38,22,0,1B
0,0,13,.154,2,2,0,C
6,3,136,.257,35,53,4,OF
0,2,60,.200,12,9,1,2B
5,8,260,.265,69,62,2,OF
4,5,243,.284,69,62,8,SS
0,2,215,.372,80,30,3,1B
6,13,246,.285,70,55,5,OF
1,0,27,.259,7,8,0,C
0,0,240,.275,66,62,2,1B
