FOW,FO,S/G,Player,TOI/G,№,PPG
1,1,1.6,Melin Bjorn,12:29,81,2
90,183,1.7,Kiryukhin Andrei,13:31,83,2
269,484,1.4,Nikolishin Andrei,17:07,13,2
72,131,1.0,St.Pierre Martin,15:39,19,0
4,11,1.5,Golubtsov Vadim,13:08,27,1
85,132,3.1,Yashin Alexei,15:35,19,9
343,675,2.3,Zinovyev Sergei,16:01,42,7
27,70,0.7,Bumagin Evgeny,11:19,77,0
146,350,0.9,Sayustov Dmitry,9:06,17,0
65,141,2.1,Redlihs Mikelis,16:07,19,4
1,4,1.0,Potekhin Bogdan,6:43,92,0
101,217,1.9,Panov Konstantin,12:09,62,0
5,10,2.6,Krasnoslobodtsev Vadim,15:46,62,1
2,4,3.4,Jagr Jaromir,18:38,68,8
407,789,1.9,Churilov Gennady,15:14,21,4
0,3,1.5,Anisin Mikhail,11:12,88,1
2,3,1.9,Chistov Stanislav,14:18,23,2
0,2,-,Sugden Brandon,3:53,28,0
7,21,1.8,Cipulis Martins,14:09,47,1
2,7,1.9,Mikhnov Alexei,10:57,8,1
9,40,1.3,Vorobyov Pavel,14:53,21,3
7,13,1.6,Kokarev Denis,13:28,19,0
291,608,1.1,Gubin Oleg,13:48,12,7
536,853,2.6,Immonen Jarkko,15:28,26,8
22,56,0.9,Kovyrshin Evgeny,9:55,88,0
373,660,1.8,Persson Niklas,17:14,53,0
10,17,2.4,Kozlov Viktor,14:25,25,3
139,290,2.0,Shafigulin Grigory,14:07,15,1
0,0,0.4,Bulik Tomas,9:12,81,0
18,74,1.4,Galkin Evgeny,12:28,72,0
0,3,1.3,Posnov Andrei,11:43,81,0
0,0,-,Medvedev Pavel,-,81,0
0,2,1.1,Gusev Nikita,7:33,97,0
0,0,-,Lugin Dmitry,9:53,21,0
0,0,2.0,Hannula Mika,12:39,51,0
0,1,2.2,Milovzorov Yegor,11:38,40,0
7,23,2.1,Khlystov Denis,15:04,29,4
362,726,1.6,Gavrilin Andrei,15:47,33,1
1,5,1.9,Muratov Evgeny,14:23,82,0
3,3,2.4,Tolpeko Denis,12:58,53,2
294,512,1.9,Straka Josef,15:58,78,9
21,54,1.4,Artyukhin Evgeny,12:35,44,0
394,809,1.8,Kuryanov Anton,16:07,19,6
31,65,0.6,Galuzin Vladimir,6:30,10,0
39,94,1.5,Komaristy Alexander,16:19,78,2
0,0,0.8,Kartayev Vladislav,8:16,98,0
2,5,0.6,Stals Juris,8:08,23,0
1,6,2.1,Petrov Kirill,14:48,9,3
236,528,1.1,Soin Sergei,17:46,6,0
188,399,1.1,Bardin Nikolai,13:34,13,3
92,198,0.4,Smirnov Andrei,7:53,17,0
335,638,1.0,Boichenko Pavel,14:34,52,1
3,13,1.6,Vyglazov Nikita,12:29,5,0
1,4,0.5,Solaryov Ilya,8:23,25,0
2,4,1.8,Zhmakin Stanislav,12:36,80,3
0,2,0.6,Chupris Yaroslav,8:46,68,0
2,3,1.1,Mons Evgeny,7:26,32,0
213,369,0.9,Taratukhin Andrei,11:45,22,0
6,19,1.9,Saprykin Oleg,12:17,91,2
203,415,1.5,Volkov Konstantin,14:45,10,1
5,14,1.8,Skachkov Evgeny,13:38,72,1
0,0,0.6,Podzins Ainars,6:16,29,0
2,8,1.9,Galimov Alexander,14:54,11,2
1,3,1.6,Mosalyov Denis,12:35,54,2
8,27,2.7,But Anton,14:43,10,2
65,99,0.8,Mamin Maxim,9:09,8,0
11,29,2.1,Krivonozhkin Maxim,15:03,50,3
18,43,1.4,Stasyuk Denis,12:21,55,0
3,13,0.7,Kalinin Sergei,6:04,40,0
2,3,1.8,Nesterov Alexander,11:01,28,3
56,114,0.9,Zagrapan Marek,11:41,48,0
1,2,0.9,Ovchinnikov Maxim,7:17,39,0
88,234,1.2,Buturlin Alexander,14:34,50,2
0,0,0.9,Rymarev Evgeny,9:26,88,0
5,9,0.8,Malyushkin Ilya,11:47,35,0
335,672,2.2,Bobrov Viktor,16:07,38,3
8,17,1.0,Mikhnov Andrei,10:38,30,0
26,61,1.4,Tyurin Denis,13:14,14,0
173,381,1.4,Zhukov Mikhail,13:57,11,2
13,23,1.1,Popov Alexander,16:09,24,1
86,185,1.3,Nilsson Robert,15:13,10,2
213,426,1.6,Gorbunov Vladimir,14:31,16,3
0,0,-,Fedoseyev Alexander,2:33,80,0
22,76,0.9,Andronov Sergei,10:41,16,0
0,0,-,Orlov Dmitry,-,79,0
2,4,2.1,Mikhailov Yegor,15:13,17,3
0,0,0.2,Toluzakov Filipp,4:25,89,0
6,25,1.3,Alexeyev Nikita,10:34,81,0
217,459,0.8,Polishchuk Fyodor,11:39,18,0
8,22,1.8,Suglobov Alexander,15:19,9,2
9,22,3.0,Ruzicka Stefan,17:09,14,5
387,818,0.9,Altaryоv Dmitry,16:21,18,3
2,7,2.6,Hossa Marcel,15:16,18,5
0,0,0.8,Klimenko Gleb,8:17,83,0
1,1,1.0,Nemirovsky David,12:05,76,0
8,17,2.1,Golovin Alexander,15:30,84,2
2,5,0.8,Valuisky Semyon,7:17,8,0
15,55,1.2,Ugarov Alexei,14:58,18,2
19,51,2.6,Mirnov Igor,15:38,10,8
0,0,-,Zyuzyakin Maxim,4:34,61,0
38,107,3.0,Surovy Tomas,17:40,43,6
283,591,1.2,Stas Andrei,12:54,23,0
12,28,1.5,Bumagin Alexander,15:36,10,4
241,435,2.6,Thoresen Patrick,17:48,41,7
376,757,2.4,Berdnikov Vadim,17:38,36,1
8,14,2.8,Zaripov Danis,16:05,25,4
3,9,1.5,Sidyakin Andrei,13:00,57,1
24,68,1.9,Zakiyev Radik,14:53,10,4
6,15,2.3,Pesonen Janne,15:04,10,4
16,35,1.8,Kosourov Alexei,16:36,79,1
0,0,0.5,Zaripov Marat,8:44,27,0
2,4,2.1,Spiridonov Maxim,18:57,8,4
239,479,2.0,Shipachyov Vadim,17:44,87,4
0,2,1.0,Pushkaryov Konstantin,9:49,81,0
46,105,1.4,Pervushin Vladimir,11:12,17,0
419,857,1.0,Nikitenko Andrei,16:08,15,4
94,146,2.6,Konkov Sergei,14:42,72,6
2,5,1.2,Yunkov Alexander,9:51,75,0
154,330,1.8,Zyuzin Dmitry,13:19,22,1
72,133,1.3,Sirokovs Aleksejs,15:58,17,0
253,569,1.2,Tatarinov Alexander,15:07,82,0
4,8,1.1,Volkov Igor,12:05,23,0
87,193,1.4,Pivko Libor,11:58,60,0
68,135,1.6,Ulmer Jeff,12:49,44,1
2,2,1.6,Stolyarov Gennady,13:05,71,0
29,59,1.7,Zhailauov Talgat,15:53,8,2
316,648,2.5,Enlund Jonas,17:24,26,4
479,823,2.2,Hartigan Mark,17:16,3,9
2,6,2.2,Afanasenkov Dmitry,14:44,25,2
2,13,1.4,Averin Yegor,13:14,29,0
29,55,2.0,Nurtdinov Ruslan,13:58,34,2
30,64,1.3,Ankipans Girts,16:20,75,0
334,610,1.5,Lehtera Jori,15:32,12,5
0,1,1.0,Lebedev Kirill,4:58,91,0
250,546,1.7,Khasanshin Ruslan,15:19,33,3
48,115,1.2,Karamnov Vitaly,10:03,34,0
6,13,1.4,Alexandrov Viktor,12:12,17,2
567,1060,1.4,Kapanen Niko,17:31,39,2
19,35,1.1,Sergeyev Denis,14:52,13,3
1,3,1.0,Dobryshkin Yury,9:18,27,0
12,45,0.9,Khokhryakov Pyotr,9:00,15,0
3,4,0.7,Vishnyakov Albert,11:15,48,0
0,0,1.0,Stolyarenko Nikolai,5:33,93,0
3,11,0.9,Grachyov Maxim,5:46,93,0
309,657,1.3,Belukhin Evgeny,14:58,34,1
0,2,2.4,Lazo Miroslav,11:40,9,1
201,437,3.3,Marek Jan,18:40,51,7
369,703,2.2,Bulis Jan,19:33,38,8
2,8,3.1,Glazachev Konstantin,17:43,18,5
1,1,1.1,Zainullin Ruslan,9:57,25,0
