RBI,Team,AB,G
7,DIA,130,42
1,MAR,20,7
1,MAR,35,12
25,PAD,163,47
3,RED,23,9
2,CUB,7,2
16,GIA,96,31
4,ATH,64,22
38,RED,194,46
3,ATH,74,24
18,GIA,117,28
4,CUB,27,11
18,GIA,145,37
15,MAR,94,24
0,PAD,7,2
22,ANG,182,50
0,CUB,14,4
13,MAR,83,22
8,RED,116,35
12,ATH,161,45
5,ANG,47,12
0,DOD,1,1
3,MAR,19,6
0,PAD,5,2
28,RED,146,40
22,GIA,98,34
10,ANG,59,26
11,GIA,38,11
6,ANG,23,8
1,ROY,78,25
10,DIA,56,18
20,ATH,181,46
18,ATH,109,34
14,BRE,121,42
2,MAR,23,8
4,MAR,86,31
3,RED,21,6
0,GIA,11,4
22,ANG,189,48
0,CUB,12,4
0,CUB,13,5
0,PAD,10,11
8,GIA,65,21
4,ANG,61,16
6,DIA,77,19
16,GIA,101,34
8,RED,78,24
15,RAN,64,17
1,DOD,27,7
6,ROY,104,33
2,CUB,15,4
23,IND,160,46
11,ATH,122,33
1,DIA,12,4
15,ROY,89,30
2,MAR,17,6
4,ATH,26,7
2,GIA,13,4
22,ROY,186,46
23,RED,195,50
23,ROY,159,43
10,RED,81,24
28,IND,172,44
8,CUB,69,21
11,ATH,40,10
17,CUB,106,30
5,DIA,17,5
11,RAN,149,41
19,ROY,187,47
0,ATH,8,3
2,RED,25,9
2,MAR,20,6
2,CUB,15,6
15,MAR,100,28
14,ANG,115,35
22,GIA,125,37
5,DIA,94,29
5,RED,39,10
9,BRE,102,30
14,DOD,85,24
16,PAD,158,44
7,CUB,70,26
17,ROY,142,39
8,ANG,91,34
16,DIA,105,28
3,DOD,34,9
0,DOD,11,4
