BATTING,Team,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,AVG,OBP,SLG,OPS
2001,TOR,46,140,134,19,36,6,2,2,9,8,1,2,15,0.269,0.279,0.388,0.667
2002,LAD,135,468,439,43,102,24,2,1,31,7,7,14,39,0.232,0.253,0.303,0.556
2003,LAD,158,593,558,47,140,21,6,1,40,10,5,25,70,0.251,0.282,0.315,0.597
2004,LAD,159,728,670,90,193,32,9,4,62,25,9,43,70,0.288,0.33,0.381,0.711
2005,LAD,106,478,444,48,114,19,2,2,31,8,8,25,51,0.257,0.302,0.322,0.624
2006,LAD,32,129,119,10,30,7,1,1,12,1,3,7,6,0.252,0.302,0.353,0.655
2006,CHC,22,79,73,4,17,2,0,0,6,0,1,5,8,0.233,0.282,0.26,0.542
2006,Total,54,208,192,14,47,9,1,1,18,1,4,12,14,0.245,0.295,0.318,0.613
2007,CHC,65,207,191,15,47,11,0,0,8,3,0,13,16,0.246,0.298,0.304,0.602
2007,PIT,45,130,123,16,34,3,2,0,8,0,3,6,3,0.276,0.31,0.333,0.643
2007,Total,110,337,314,31,81,14,2,0,16,3,3,19,19,0.258,0.302,0.315,0.617
2008,STL,135,454,414,50,109,10,3,1,24,24,6,29,26,0.263,0.319,0.309,0.628
2009,BAL,114,412,387,34,99,14,4,2,30,12,4,18,38,0.256,0.294,0.328,0.622
2010,BAL,150,513,473,42,109,13,1,1,28,11,5,25,53,0.23,0.277,0.268,0.545
2011,BAL,18,33,30,4,6,0,0,0,1,0,0,2,10,0.2,0.25,0.2,0.45
2012,MIL,57,169,162,9,38,6,2,2,11,1,1,3,13,0.235,0.248,0.333,0.581
2012,WSH,5,4,4,4,2,1,0,0,0,0,0,0,0,0.5,0.5,0.75,1.25
2012,Total,62,173,166,13,40,7,2,2,11,1,1,3,13,0.241,0.254,0.343,0.597
2013,CIN,63,142,129,6,27,8,0,0,11,0,0,9,13,0.209,0.259,0.271,0.53
Career, ,1310,4679,4350,441,1103,177,34,17,312,110,53,226,431,0.254,0.293,0.322,0.615
