SB,GIDP,Player,SLG,POS,Team,SH,SO
0,7,C Perez,0.451,OF,VSL DET,1,24
6,1,J Leal,0.423,RF,VSL SEA,1,52
0,0,D Gonzalez,0.228,SS,VSL PHI,0,29
3,5,H Lugo,0.165,SS,VSL TB,0,31
2,4,M Rico,0.436,3B,VSL CHN,0,59
3,4,E Castillo,0.247,2B,VSL DET,4,43
3,3,D Arcila,0.533,1B,VSL CHN,0,62
1,3,D Colina,0.377,3B,VSL TB,0,32
4,1,E Aray,0.293,OF,VSL TB,0,22
1,2,G Rivero,0.344,C,VSL PHI,2,37
5,0,F Talos,0.395,OF,VSL SEA,0,22
31,3,H Garcia,0.314,2B,VSL CHN,1,48
4,1,A Capriata,0.452,C,VSL SEA,1,4
5,1,J Azocar,0.307,OF,VSL DET,1,43
1,3,A Velasquez,0.435,1B,VSL SEA,0,8
13,1,R Marcano,0.45,OF,VSL CHN,0,53
3,1,A Perez,0.378,C,VSL DET,1,14
0,2,D Flores,0.25,3B,VSL DET,0,26
3,4,F Herrera,0.387,1B,VSL PHI,0,19
11,4,A Alfaro,0.283,SS,VSL DET,1,47
7,7,E Jimenez,0.34,OF,VSL PHI,3,40
4,1,J Ledezma,0.239,3B,VSL DET,4,32
10,2,J Quevedo,0.414,C,VSL SEA,0,16
2,8,J Miranda,0.365,OF,VSL PHI,0,51
3,2,R Ascanio,0.434,SS,VSL SEA,1,33
3,10,W Garcia,0.414,1B,VSL PHI,1,16
20,4,C Duran,0.438,OF,VSL PHI,1,33
5,4,R Alcala,0.544,3B,VSL CHN,0,34
4,3,D Mina,0.419,1B,VSL SEA,2,22
0,3,K Auciello,0.611,C,VSL TB,0,5
0,0,A Diaz,0.25,P,VSL CHN,0,2
2,0,A Herrera,0.268,2B,VSL SEA,1,15
1,2,J Morales,0.39,3B,VSL SEA,5,20
1,2,R Vahlis,0.379,C,VSL CHN,1,14
0,0,W Isava,0.263,SS,VSL PHI,1,8
