Batter,Team,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,AVG,OBP,SLG,OPS
Tim Roberson,Sal,20,7,9,2,0,1,4,0,0,2,5,0.45,0.5,0.7,1.2
Mookie Betts,Sal,57,12,21,3,0,2,13,14,1,6,4,0.368,0.422,0.526,0.948
Garin Cecchini,Sal,85,16,26,5,2,2,16,6,3,20,10,0.306,0.443,0.482,0.926
David Chester,Sal,27,5,7,1,0,2,5,1,0,6,6,0.259,0.382,0.519,0.901
Bryan Johns,Sal,18,2,6,2,0,0,2,1,0,3,4,0.333,0.455,0.444,0.899
Sean Coyle,Sal,88,23,23,3,0,8,11,7,0,8,25,0.261,0.32,0.568,0.888
Stefan Welch,Sal,94,19,24,5,0,5,20,1,2,15,23,0.255,0.368,0.468,0.837
Blake Swihart,Sal,123,15,38,10,4,0,16,4,1,12,23,0.309,0.37,0.455,0.826
Matthew Gedman,Sal,68,10,20,3,0,3,17,2,0,5,11,0.294,0.338,0.471,0.808
Brandon Jacobs,Sal,94,17,21,10,0,3,19,6,2,14,23,0.223,0.348,0.426,0.773
Henry Ramos,Sal,180,29,46,13,1,4,20,4,4,20,30,0.256,0.325,0.406,0.731
Nick Natoli,Sal,102,20,24,7,1,1,16,5,0,20,19,0.235,0.373,0.353,0.726
Keury De La Cruz,Sal,203,25,53,12,4,3,35,3,0,10,46,0.261,0.294,0.404,0.698
David Renfroe,Sal,74,12,19,6,2,0,13,1,1,3,18,0.257,0.295,0.392,0.687
Deven Marrero,Sal,142,19,34,9,0,1,6,15,0,18,26,0.239,0.329,0.324,0.653
Felix Sanchez,Sal,45,11,11,1,0,1,4,10,2,3,10,0.244,0.306,0.333,0.639
Cody Koback,Sal,50,4,13,2,0,0,4,3,0,6,6,0.26,0.333,0.3,0.633
Matty Johnson,Sal,71,6,18,2,1,0,8,7,3,7,9,0.254,0.321,0.31,0.631
Carson Blair,Sal,37,5,6,0,1,1,4,0,0,4,17,0.162,0.244,0.297,0.541
Jose Garcia,Sal,38,0,7,0,1,0,2,1,0,1,11,0.184,0.205,0.237,0.442
Vladimir Frias,Sal,7,0,1,0,0,0,0,1,0,1,1,0.143,0.25,0.143,0.393
Leonel Escobar,Sal,4,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0
Kevin Heller,Sal,2,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0
