Unicode support,Costs,License,Parenthesis matching,Document comparison,Intelligent error handling,Autocompletion of LaTeX commands,Editing style[Note 1],Latest stable version
Yes,Free,GPL2,Yes,Yes,Yes,Yes,Source,2.9.0 (2015-03-06)
Yes,Free,Proprietary,Yes,No,?, ,WYSIWYM,2.2.0
Yes,Non-free,Proprietary,Yes,No,Yes,Yes,Source,5 (2013-06-27)
since v2.0,Free,GPL,Yes,No,Yes,Yes,Source,"2.02 Stable (September 29, 2013 (2013-09-29)) [±]"
Yes,Free,Free,Yes,Yes,?,Yes,Source,7.4(2013-08-10)
Yes,Free,Proprietary,Yes,No,Yes,Yes,Source, 
Yes,Free,EPL,Yes,Yes,Yes,Yes,Source,1.5.0 (2011-11-26)
Yes,cost,Proprietary,Yes,Yes,Yes,Yes,WYSIWYG / Source,10.40 (2014-04-14)
Yes,cost,Proprietary,Yes,No,Yes,Yes,Source,1.3 (2014-11-07)
Yes,Free,MIT,Yes,No,No,No,Source,0.6.5 (2012-10-20)
Yes,Free,GPL,Yes,No,Yes,Yes,source,3.14 (2014-09-22)
Yes,Free,Apache License,Yes,No,No,No,Source,?
Yes,Non-free,Proprietary,Yes,No,Yes,Yes,Source,1.2.1(2014-06-14)
Yes,Free,GPL,No,No,Yes,Yes,Source,0.6.4[4]
Yes,cost,Proprietary,Yes,No,Yes,Yes,Source,1.0.6
Yes,Free,GPL,Yes,Yes,Yes,Yes,WYSIWYM,2.1.3 (2014-02-10)
Yes,Free,AGPL,Yes,Yes,Yes,Yes,Source, 
Yes,Free,Free,Yes,No,No,No,Source,0.30(2013-12-13)
