ORB%,GS,BLK%,DRtg,ORtg,G
0.0,0,9.2,107, ,36
9.1,1,5.3,89,96,34
11.5,0,0.0,105,157,27
6.3,1,5.0,113,34,33
0.0,0,0.0,115,0,16
13.3,0,0.0,108,97,15
0.0,0,0.0,102,101,55
11.5,1,0.0,112,111,32
0.0,0,0.0,110,300,50
0.0,0,0.0,100,0,35
0.0,0,0.0,103, ,5
19.4,0,0.0,119,41,48
0.0,0,0.0,107,62,39
0.0,0,0.0,100,0,45
0.0,0,0.0,125,71,56
0.0,0,0.0,111,93,24
0.0,0,0.0,121,181,57
0.0,0,0.0,104,0,9
0.0,0,0.0,109,0,20
4.9,0,0.0,110,70,3
0.0,0,0.0,124,0,18
0.0,0,0.0,108,117,47
10.0,0,0.0,98,89,8
0.0,0,0.0,117,71,23
22.9,0,0.0,106,215,12
0.0,0,0.0,91,0,19
