TS%,DRB%,GS,DRtg,GmSc,MP,G,ORB%
.258,54.5,0,89,-0.9,8:00,49,0.0
.418,24.6,0,109,2.4,25:00,13,0.0
.769,11.0,0,88,12.4,20:00,5,0.0
 ,0.0,0,96,0.0,5:00,41,0.0
.644,34.3,0,85,4.4,12:00,35,0.0
 ,0.0,0,114,-1.0,3:00,36,0.0
.630,16.8,0,88,7.2,15:00,37,14.2
.868,18.0,0,106,4.7,7:00,44,0.0
.333,25.0,0,106,-0.1,6:00,42,21.1
.000,0.0,0,109,-0.7,3:00,23,0.0
.420,7.5,0,101,4.3,14:00,10,18.5
.568,0.0,0,116,-0.1,4:00,63,26.7
.333,29.2,0,112,1.6,7:00,34,29.8
.000,15.3,0,97,-1.6,17:00,11,0.0
.600,7.9,1,114,2.7,21:00,32,0.0
.000,0.0,0,107,-0.4,5:00,39,0.0
1.136,0.0,0,123,1.9,4:00,38,31.5
.761,0.0,0,114,9.4,14:00,3,8.0
.773,0.0,0,123,3.9,7:00,52,0.0
1.000,21.8,0,98,3.2,5:00,67,0.0
.174,14.8,0,103,0.2,6:00,22,0.0
1.000,47.1,0,94,1.6,4:00,60,0.0
1.000,0.0,0,104,3.7,7:00,24,0.0
.618,27.8,0,101,9.6,14:00,40,0.0
.518,15.8,1,93,2.2,21:00,30,0.0
.764,8.6,0,108,10.3,16:00,4,30.0
.667,7.6,0,106,-1.4,18:00,8,0.0
.000,14.3,0,99,-0.1,8:00,45,15.8
.595,27.2,0,86,6.7,23:00,6,11.3
.605,8.3,0,89,10.2,18:00,14,6.8
1.042,15.4,0,96,3.7,8:00,20,0.0
.857,8.6,1,108,15.4,33:00,31,4.8
.400,11.8,0,107,-0.2,12:00,28,0.0
.200,0.0,0,120,-3.2,8:00,7,15.4
 ,0.0,0,124,-0.8,12:00,12,0.0
.571,9.3,0,101,4.1,14:00,66,21.4
.538,14.8,0,104,5.7,27:00,2,9.4
.694,12.8,0,89,3.9,8:00,25,0.0
.717,8.8,1,89,7.0,14:00,33,16.3
